--Device--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
Mobile,534019,111440,107880,20.20,0.86,0.55,60.78
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"05 Sep, 2021",73218,16194,15706,21.45,0.85,0.79,12.77
"04 Sep, 2021",74175,16728,16221,21.87,0.87,0.50,8.33
"03 Sep, 2021",79019,16350,15776,19.96,0.97,0.55,9.05
"02 Sep, 2021",79997,16232,15698,19.62,0.89,0.51,8.24
"01 Sep, 2021",82495,16348,15860,19.23,0.83,0.46,7.52
"31 Aug, 2021",77545,15003,14523,18.73,0.79,0.53,8.02
"30 Aug, 2021",67570,14585,14096,20.86,0.79,0.47,6.85
"
","
"
"
","
"
--Device--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
Desktop,107476,65269,64469,59.98,1.08,0.61,40.12
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"05 Sep, 2021",12846,8977,8889,69.20,1.68,0.77,6.9
"04 Sep, 2021",13173,8548,8474,64.33,1.7,0.85,7.24
"03 Sep, 2021",15602,10246,10114,64.83,0.82,0.38,3.94
"02 Sep, 2021",16829,10178,10025,59.57,0.21,0.25,2.52
"01 Sep, 2021",16450,9581,9425,57.29,0.67,0.62,5.95
"31 Aug, 2021",16861,9232,9124,54.11,1.2,0.71,6.52
"30 Aug, 2021",15715,8507,8418,53.57,1.55,0.83,7.05
"
","
"
"
","
"
--Device--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
Tablets,2726,719,713,26.16,0.83,0.45,0.32
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"05 Sep, 2021",642,116,114,17.76,1.72,0.52,0.06
"04 Sep, 2021",238,95,95,39.92,0,0.00,0
"03 Sep, 2021",321,115,113,35.20,0,0.00,0
"02 Sep, 2021",579,152,152,26.25,0.66,0.39,0.06
"01 Sep, 2021",314,85,83,26.43,1.18,1.53,0.13
"31 Aug, 2021",233,57,57,24.46,0,0.00,0
"30 Aug, 2021",399,99,99,24.81,2.02,0.71,0.07
"
","
"
"
","
"
--Device--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"Other devices",233,174,174,74.68,0.57,0.17,0.03
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"05 Sep, 2021",42,34,34,80.95,0,0.00,0
"04 Sep, 2021",63,50,50,79.37,0,0.00,0
"03 Sep, 2021",16,12,12,75.00,0,0.00,0
"02 Sep, 2021",35,18,18,51.43,0,0.00,0
"01 Sep, 2021",11,9,9,81.82,0,0.00,0
"31 Aug, 2021",43,35,35,81.40,2.86,0.86,0.03
"30 Aug, 2021",23,16,16,69.57,0,0.00,0
"
","
"
"
","
"
