--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"27 Jan ,2022",0,0,0,0,0,0,0,0
"26 Jan ,2022",0,0,0,0,0,0,0,0
"25 Jan, 2022","84,519","18,374",21.74,25.55,0.69%,0.44,8.00
"24 Jan, 2022","88,352","18,092",20.48,24.01,0.92%,0.62,11.19
"23 Jan, 2022","79,155","16,255",20.54,22.44,1.26%,0.84,13.71
"22 Jan, 2022","82,945","17,878",21.55,22.79,0.62%,0.42,7.52
"21 Jan, 2022","86,122","17,161",19.93,20.84,0.83%,0.49,8.46
"20 Jan, 2022","102,464","19,540",19.07,20.18,0.71%,0.41,7.97
"19 Jan, 2022","98,308","20,677",21.03,22.09,0.92%,0.43,8.86
"18 Jan, 2022","96,063","20,875",21.73,22.83,1.03%,0.55,11.51
Total,"717,928","148,852",21,22.53,0.87,0.52,77.22
