--Website--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
www_komparify_com,147909,100228,69.77,72.79,0.67,0.82,82.56
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"02 Feb, 2022",15852,10703,67.52,71.98,0.86,1.80,19.28
"01 Feb, 2022",17129,11629,67.89,71.91,0.65,0.72,8.33
"31 Jan, 2022",18493,12903,69.77,74.85,0.86,0.67,8.7
"30 Jan, 2022",19344,13675,70.69,74.97,0.75,0.91,12.4
"29 Jan, 2022",19802,13629,68.83,73.18,0.68,0.69,9.4
"28 Jan, 2022",18785,12489,66.48,70.69,0.44,0.68,8.55
"27 Jan, 2022",20054,12922,64.44,73.01,0.67,0.75,9.69
"26 Jan, 2022",18450,12278,66.55,71.42,0.45,0.51,6.21
"
","
"
"
","
"
--Website--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
ireff_in,9967,1811,14.00,18.96,29.82,10.77,19.5
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"02 Feb, 2022",1176,190,16.16,14.03,41.58,13.47,2.56
"01 Feb, 2022",1386,313,22.58,17.75,25.88,11.50,3.6
"31 Jan, 2022",1475,395,26.78,27.73,24.81,5.62,2.22
"30 Jan, 2022",1451,139,9.58,19.99,58.27,19.28,2.68
"29 Jan, 2022",1178,259,21.99,22.33,32.05,18.80,4.87
"28 Jan, 2022",1236,173,14.00,11.57,19.08,5.55,0.96
"27 Jan, 2022",1085,215,19.82,26.54,14.42,2.56,0.55
"26 Jan, 2022",980,127,12.96,8.78,42.52,16.22,2.06
"
","
"
"
","
"
--Website--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
www_ireff_in,536777,39594,9.22,10.76,0.12,0.04,1.55
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"02 Feb, 2022",72370,4748,6.56,10.24,0.11,0.04,0.2
"01 Feb, 2022",70486,5826,8.27,12.26,0.09,0.04,0.22
"31 Jan, 2022",71207,5234,7.35,10.49,0.11,0.03,0.15
"30 Jan, 2022",63886,4971,7.78,12.92,0.06,0.01,0.07
"29 Jan, 2022",66393,4337,6.53,8.17,0.07,0.02,0.09
"28 Jan, 2022",63078,4601,7.29,8.74,0.11,0.05,0.22
"27 Jan, 2022",64159,5917,9.22,12.84,0.22,0.08,0.48
"26 Jan, 2022",65198,3960,6.07,10.45,0.15,0.03,0.12
"
","
"
"
","
"
--Website--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
recharge_komparify_com,314,162,46.55,51.59,0.00,0.00,0
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"02 Feb, 2022",41,25,60.98,60.98,0,0.00,0
"01 Feb, 2022",44,17,38.64,38.64,0,0.00,0
"31 Jan, 2022",39,22,56.41,56.41,0,0.00,0
"30 Jan, 2022",9,5,55.56,55.56,0,0.00,0
"29 Jan, 2022",42,28,66.67,66.67,0,0.00,0
"28 Jan, 2022",27,15,55.56,55.56,0,0.00,0
"27 Jan, 2022",54,23,42.59,42.59,0,0.00,0
"26 Jan, 2022",58,27,46.55,46.55,0,0.00,0
"
","
"
"
","
"
