--Website--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
www_komparify_com,141937,101503,98062,69.09,1.20,1.28,130.09
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"05 Oct, 2021",22619,16372,15702,69.42,1.26,1.55,25.32
"04 Oct, 2021",24377,17551,16948,69.52,1.37,2.15,37.81
"03 Oct, 2021",23074,16689,16176,70.10,1.16,1.13,18.86
"02 Oct, 2021",24287,17366,16829,69.29,1.22,0.92,16
"01 Oct, 2021",24330,17141,16540,67.98,1.22,1.03,17.62
"30 Sep, 2021",23250,16384,15867,68.25,0.98,0.88,14.48
"
","
"
"
","
"
--Website--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
ireff_in,4777,829,829,17.35,66.83,37.07,30.73
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"05 Oct, 2021",736,93,93,12.64,52.69,28.17,2.62
"04 Oct, 2021",878,104,104,11.85,84.62,39.71,4.13
"03 Oct, 2021",605,87,87,14.38,196.55,119.20,10.37
"02 Oct, 2021",855,202,202,23.63,93.56,56.93,11.5
"01 Oct, 2021",796,111,111,13.94,50.45,18.65,2.07
"30 Sep, 2021",907,232,232,25.58,0.43,0.17,0.04
"
","
"
"
","
"
--Website--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
www_ireff_in,330160,23783,23783,7.20,0.16,0.07,1.66
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"05 Oct, 2021",62989,3912,3912,6.21,0.15,0.05,0.19
"04 Oct, 2021",55382,3617,3617,6.53,0.3,0.12,0.43
"03 Oct, 2021",46794,3016,3016,6.45,0.03,0.07,0.2
"02 Oct, 2021",51747,4066,4066,7.86,0.17,0.08,0.33
"01 Oct, 2021",54215,3686,3686,6.80,0.24,0.12,0.43
"30 Sep, 2021",59033,5486,5486,9.29,0.07,0.01,0.08
"
","
"
"
","
"
--Website--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
recharge_komparify_com,355,70,70,19.72,0.00,0.00,0
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"05 Oct, 2021",54,13,13,24.07,0,0.00,0
"04 Oct, 2021",103,24,24,23.30,0,0.00,0
"03 Oct, 2021",41,9,9,21.95,0,0.00,0
"02 Oct, 2021",27,2,2,7.41,0,0.00,0
"01 Oct, 2021",76,17,17,22.37,0,0.00,0
"30 Sep, 2021",54,5,5,9.26,0,0.00,0
"
","
"
"
","
"
