--Device--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Mobile,7458694,1220596,17.70,18.73,0.91,0.71,873.68
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"16 Feb, 2022",63461,8909,14.04,15.72,0.55,0.76,6.83
"14 Feb, 2022",66894,7440,11.12,11.92,0.78,0.63,4.7
"13 Feb, 2022",62278,9326,14.97,16.18,0.85,0.97,9.07
"12 Feb, 2022",63994,7618,11.90,13.10,0.62,0.83,6.38
"11 Feb, 2022",65942,7433,11.27,12.71,0.9,1.16,8.65
"10 Feb, 2022",65383,8353,12.78,13.62,0.83,0.90,7.56
"09 Feb, 2022",69296,9041,13.05,13.71,0.66,1.14,10.31
"08 Feb, 2022",62808,7768,12.37,12.98,0.8,1.16,9.05
"07 Feb, 2022",64634,7454,11.53,12.20,0.85,1.21,9.04
"06 Feb, 2022",72356,8178,11.30,12.07,0.81,1.05,8.66
"05 Feb, 2022",68087,8129,11.94,12.66,0.89,2.06,16.8
"04 Feb, 2022",61389,7900,12.87,13.59,0.71,0.91,7.25
"03 Feb, 2022",69890,8133,11.64,15.79,0.71,0.47,3.9
"02 Feb, 2022",75455,8259,10.95,15.15,0.81,1.05,8.72
"01 Feb, 2022",72065,8494,11.79,16.39,0.66,0.71,6.1
"31 Jan, 2022",77656,10274,13.23,17.03,0.76,0.56,5.84
"30 Jan, 2022",72821,11764,16.15,21.69,0.67,0.81,9.62
"29 Jan, 2022",74546,10681,14.33,16.74,0.71,0.80,8.57
"28 Jan, 2022",70093,10395,14.83,16.97,0.46,0.48,5.03
"27 Jan, 2022",69250,10729,15.49,20.11,0.72,0.69,7.45
"26 Jan, 2022",73195,10494,14.34,19.22,0.61,0.58,6.15
"25 Jan, 2022",70867,10682,15.07,19.45,0.54,0.39,4.2
"24 Jan, 2022",73963,10707,14.48,18.38,0.54,0.44,4.76
"23 Jan, 2022",69619,11500,16.52,18.40,0.83,0.60,6.96
"22 Jan, 2022",70603,11540,16.34,17.48,0.7,0.48,5.58
"21 Jan, 2022",73261,10665,14.56,15.39,0.77,0.42,4.57
"20 Jan, 2022",88349,12134,13.73,14.80,0.56,0.45,5.53
"19 Jan, 2022",84677,13160,15.54,16.51,0.98,0.52,6.85
"18 Jan, 2022",81769,14474,17.70,18.73,1.06,0.60,8.81
"17 Jan, 2022",84635,14450,17.07,17.89,1.16,0.67,9.81
"16 Jan, 2022",74546,14271,19.14,20.41,0.97,0.55,7.94
"15 Jan, 2022",86189,14371,16.67,17.85,0.97,0.47,6.77
"14 Jan, 2022",76229,13484,17.69,18.94,0.99,0.58,7.86
"13 Jan, 2022",83475,14945,17.90,18.49,1.17,0.56,8.42
"12 Jan, 2022",84476,15632,18.50,19.27,0.97,0.48,7.59
"11 Jan, 2022",84871,15406,18.15,19.40,0.86,0.53,8.22
"10 Jan, 2022",88560,15726,17.76,18.81,0.92,0.46,7.36
"09 Jan, 2022",82411,16835,20.43,21.75,0.99,0.47,8.02
"08 Jan, 2022",86221,16998,19.71,20.86,1.11,0.68,11.71
"07 Jan, 2022",85774,15956,18.60,19.81,0.85,0.54,8.75
