--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"27 Feb ,2022",0,0,0,0,0,0,0,0
"26 Feb, 2022","70,913","14,707",20.74,21.88,0.65%,0.51,7.54
"25 Feb, 2022","77,439","13,613",17.58,18.42,0.40%,0.42,5.72
"24 Feb, 2022","76,530","14,502",18.95,20.17,0.66%,0.86,12.57
"23 Feb, 2022","82,953","16,537",19.94,21.12,0.63%,0.59,9.87
"22 Feb, 2022","83,224","15,557",18.69,19.96,1.00%,0.88,13.80
"21 Feb, 2022","78,682","16,443",20.90,27.07,0.86%,0.77,12.74
"20 Feb, 2022","69,943","15,589",22.29,23.91,0.61%,0.67,10.46
"19 Feb, 2022","71,072","15,420",21.70,23.21,0.63%,0.65,10.06
"18 Feb, 2022","69,327","14,015",20.22,21.35,0.86%,0.72,10.20
Total,"680,083","136,383",20,21.86,0.70,0.68,92.96
