--Website--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
www_komparify_com,1912679,1391862,74.88,75.67,0.98,0.87,1206.09
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"31 Jan, 2022",18493,12903,69.77,74.85,0.86,0.67,8.7
"30 Jan, 2022",19344,13675,70.69,74.97,0.75,0.91,12.4
"29 Jan, 2022",19802,13629,68.83,73.18,0.68,0.69,9.4
"28 Jan, 2022",18785,12489,66.48,70.69,0.44,0.68,8.55
"27 Jan, 2022",20054,12922,64.44,73.01,0.67,0.75,9.69
"26 Jan, 2022",18450,12278,66.55,71.42,0.45,0.51,6.21
"25 Jan, 2022",19238,13125,68.22,72.93,0.59,0.45,5.97
"24 Jan, 2022",19084,13190,69.12,73.48,0.64,0.54,7.12
"23 Jan, 2022",19833,13185,66.48,70.60,0.67,0.54,7.17
"22 Jan, 2022",20994,13902,66.22,69.84,0.59,0.44,6.11
"21 Jan, 2022",19422,13225,68.09,71.79,0.67,0.48,6.36
"20 Jan, 2022",22273,14473,64.98,68.72,0.45,0.41,6
"19 Jan, 2022",22357,15742,70.41,73.70,0.66,0.41,6.46
"18 Jan, 2022",24093,17450,72.43,75.86,0.99,0.59,10.28
"17 Jan, 2022",23356,17005,72.81,75.91,1.11,0.80,13.59
"16 Jan, 2022",22116,16017,72.42,75.56,0.89,0.52,8.31
"15 Jan, 2022",22077,15877,71.92,75.18,0.89,0.53,8.45
"14 Jan, 2022",21448,15399,71.80,74.79,0.9,0.57,8.77
"13 Jan, 2022",23041,16974,73.67,75.30,1.05,0.51,8.71
"12 Jan, 2022",24306,18054,74.28,76.13,0.83,0.42,7.62
"11 Jan, 2022",24488,17926,73.20,75.46,0.89,0.57,10.14
"10 Jan, 2022",25284,18696,73.94,76.54,0.96,0.57,10.65
"09 Jan, 2022",25614,18663,72.86,75.69,1.01,0.50,9.39
"08 Jan, 2022",26049,19411,74.52,77.26,1.11,0.83,16.04
"07 Jan, 2022",25792,18660,72.35,75.22,0.81,0.54,10.16
"06 Jan, 2022",26410,18833,71.31,73.97,0.98,0.82,15.51
"05 Jan, 2022",27206,20250,74.43,76.05,1.07,0.77,15.51
"04 Jan, 2022",26959,19325,71.68,73.53,1.18,1.11,21.47
"03 Jan, 2022",25977,19068,73.40,75.04,1.12,0.80,15.32
"02 Jan, 2022",24553,17721,72.17,73.55,1.16,0.77,13.63
"01 Jan, 2022",20844,14947,71.71,74.36,0.68,0.64,9.57
"31 Dec, 2021",23399,16661,71.20,74.01,0.81,0.57,9.58
"30 Dec, 2021",24038,17482,72.73,74.63,0.96,0.91,15.96
"29 Dec, 2021",25320,18726,73.96,75.95,1.19,1.13,21.19
"28 Dec, 2021",26499,19383,73.15,74.42,1.31,1.06,20.57
"27 Dec, 2021",27340,20175,73.79,75.04,1.09,1.03,20.86
"26 Dec, 2021",25998,18801,72.32,74.14,1.13,1.21,22.76
"25 Dec, 2021",26706,19176,71.80,74.87,1,0.93,17.87
"24 Dec, 2021",24977,18585,74.41,77.22,0.9,0.79,14.68
"23 Dec, 2021",27340,20066,73.39,75.04,1.05,0.84,16.85
"22 Dec, 2021",26265,19672,74.90,76.36,1.12,1.15,22.72
"21 Dec, 2021",27813,20806,74.81,77.70,1.07,1.05,21.79
"20 Dec, 2021",25289,19193,75.89,78.75,1.19,1.20,23.07
"19 Dec, 2021",24689,18313,74.17,77.64,0.94,0.91,16.62
"18 Dec, 2021",25210,18493,73.36,76.67,1.06,0.98,18.07
"17 Dec, 2021",26159,19796,75.68,78.59,1.16,1.22,24.13
"16 Dec, 2021",27807,20770,74.69,77.57,1.06,1.01,21.06
"15 Dec, 2021",25207,18787,74.53,76.82,1.19,1.03,19.38
"14 Dec, 2021",27690,20927,75.58,77.21,1.18,1.12,23.51
"13 Dec, 2021",26943,19912,73.90,76.55,1.11,1.21,24.1
"12 Dec, 2021",26590,20137,75.73,77.45,1.26,1.25,25.15
"11 Dec, 2021",27068,19934,73.64,75.94,1.12,1.35,26.92
"10 Dec, 2021",26577,19575,73.65,75.95,1.11,1.18,23.05
"09 Dec, 2021",28933,21374,73.87,76.23,1.23,1.41,30.21
"08 Dec, 2021",28113,20222,71.93,75.94,0.95,0.95,19.26
"07 Dec, 2021",28676,20733,72.30,75.48,0.98,0.95,19.78
"06 Dec, 2021",28725,20300,70.67,73.48,1.02,0.95,19.21
"05 Dec, 2021",29809,22072,74.04,77.68,0.96,0.99,21.83
"04 Dec, 2021",28751,21528,74.88,78.84,0.89,0.80,17.32
"03 Dec, 2021",28949,21257,73.43,77.04,0.92,0.75,15.86
"02 Dec, 2021",30273,22142,73.14,76.85,0.99,1.00,22.14
"01 Dec, 2021",30741,22858,74.36,77.57,1.16,1.05,24.07
"30 Nov, 2021",31870,23627,74.14,77.21,1.15,0.87,20.47
"29 Nov, 2021",31354,23193,73.97,76.55,1.03,1.08,25.06
"28 Nov, 2021",25740,19746,76.71,80.22,0.81,0.76,14.96
"27 Nov, 2021",27059,20581,76.06,78.47,0.75,0.64,13.21
"26 Nov, 2021",25996,19430,74.74,78.10,0.89,0.68,13.15
"25 Nov, 2021",28157,20750,73.69,77.09,1.02,0.87,18.06
"24 Nov, 2021",29049,21356,73.52,76.07,1.19,1.13,24.15
"23 Nov, 2021",27461,20530,74.76,77.48,1.03,1.13,23.16
"22 Nov, 2021",24855,18400,74.03,76.44,0.77,0.73,13.43
"21 Nov, 2021",24681,17877,72.43,75.42,1.02,1.16,20.73
"20 Nov, 2021",25327,18386,72.59,74.72,0.93,0.94,17.23
"19 Nov, 2021",25001,18587,74.35,76.68,1.02,0.95,17.65
"18 Nov, 2021",24402,17641,72.29,75.45,1,0.82,14.53
"17 Nov, 2021",26091,18888,72.39,75.71,1.06,0.92,17.47
"
","
"
"
","
"
--Website--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
ireff_in,99841,20670,30.76,20.09,34.32,13.92,287.72
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"31 Jan, 2022",1475,395,26.78,27.73,24.81,5.62,2.22
"30 Jan, 2022",1451,139,9.58,19.99,58.27,19.28,2.68
"29 Jan, 2022",1178,259,21.99,22.33,32.05,18.80,4.87
"28 Jan, 2022",1236,173,14.00,11.57,19.08,5.55,0.96
"27 Jan, 2022",1085,215,19.82,26.54,14.42,2.56,0.55
"26 Jan, 2022",980,127,12.96,8.78,42.52,16.22,2.06
"25 Jan, 2022",1195,211,17.66,13.89,19.91,7.68,1.62
"24 Jan, 2022",1285,219,17.04,18.29,35.16,17.81,3.9
"23 Jan, 2022",1070,88,8.22,9.16,129.55,72.61,6.39
"22 Jan, 2022",1790,217,12.12,13.18,12.44,6.41,1.39
"21 Jan, 2022",981,113,11.52,12.23,46.02,17.79,2.01
"20 Jan, 2022",1207,129,10.69,11.02,53.49,14.65,1.89
"19 Jan, 2022",1139,138,12.12,13.26,42.03,12.39,1.71
"18 Jan, 2022",1215,80,6.58,10.86,37.5,10.75,0.86
"17 Jan, 2022",1493,319,21.37,15.94,18.5,6.71,2.14
"16 Jan, 2022",1004,112,11.16,7.97,57.14,20.89,2.34
"15 Jan, 2022",1142,193,16.90,16.02,25.39,7.62,1.47
"14 Jan, 2022",986,158,16.02,6.90,44.94,16.71,2.64
"13 Jan, 2022",1230,330,26.83,13.33,12.73,3.76,1.24
"12 Jan, 2022",1398,328,23.46,17.02,16.16,4.57,1.5
"11 Jan, 2022",1294,377,29.13,22.02,17.24,9.42,3.55
"10 Jan, 2022",1164,323,27.75,11.17,24.77,10.56,3.41
"09 Jan, 2022",1022,92,9.00,7.63,83.7,21.30,1.96
"08 Jan, 2022",1213,288,23.74,14.51,17.01,2.47,0.71
"07 Jan, 2022",1069,250,23.39,8.98,22.8,12.24,3.06
"06 Jan, 2022",1471,292,19.85,14.41,39.04,10.62,3.1
"05 Jan, 2022",1211,130,10.73,9.58,63.85,20.46,2.66
"04 Jan, 2022",1237,234,18.92,17.87,37.61,9.49,2.22
"03 Jan, 2022",1637,240,14.66,14.36,45,17.29,4.15
"02 Jan, 2022",1065,106,9.95,11.46,92.45,26.51,2.81
"01 Jan, 2022",1072,171,15.95,17.44,39.18,15.15,2.59
"31 Dec, 2021",1409,181,12.85,13.27,42.54,10.66,1.93
"30 Dec, 2021",1669,345,20.67,20.25,26.67,5.39,1.86
"29 Dec, 2021",1367,376,27.51,22.46,24.47,9.07,3.41
"28 Dec, 2021",1141,207,18.14,20.42,52.66,12.03,2.49
"27 Dec, 2021",1548,489,31.59,28.10,23.52,7.46,3.65
"26 Dec, 2021",1045,190,18.18,18.85,65.79,21.84,4.15
"25 Dec, 2021",1222,313,25.61,25.04,30.03,12.91,4.04
"24 Dec, 2021",1400,337,24.07,21.64,35.61,9.94,3.35
"23 Dec, 2021",1395,387,27.74,24.52,24.81,8.11,3.14
"22 Dec, 2021",1507,316,20.97,23.42,32.91,9.75,3.08
"21 Dec, 2021",1167,255,21.85,21.17,41.18,12.16,3.1
"20 Dec, 2021",1465,516,35.22,31.26,24.61,7.21,3.72
"19 Dec, 2021",865,85,9.83,10.29,118.82,48.94,4.16
"18 Dec, 2021",1443,318,22.04,21.14,33.02,14.34,4.56
"17 Dec, 2021",1291,260,20.14,26.03,56.92,30.42,7.91
"16 Dec, 2021",1277,409,32.03,35.87,40.59,16.38,6.7
"15 Dec, 2021",1008,211,20.93,22.52,65.88,29.19,6.16
"14 Dec, 2021",1334,285,21.36,21.59,89.82,45.40,12.94
"13 Dec, 2021",1291,356,27.58,27.65,44.66,13.54,4.82
"12 Dec, 2021",1343,263,19.58,20.55,67.68,23.08,6.07
"11 Dec, 2021",1341,268,19.99,17.00,42.54,23.25,6.23
"10 Dec, 2021",1419,441,31.08,22.90,28.8,13.24,5.84
"09 Dec, 2021",1453,362,24.91,28.29,38.12,17.32,6.27
"08 Dec, 2021",1331,444,33.36,33.66,36.49,14.50,6.44
"07 Dec, 2021",1580,415,26.27,37.85,26.99,9.04,3.75
"06 Dec, 2021",2908,448,15.41,13.17,24.11,11.36,5.09
"05 Dec, 2021",1780,317,17.81,21.52,28.08,18.49,5.86
"04 Dec, 2021",1726,437,25.32,23.35,12.13,4.23,1.85
"03 Dec, 2021",1617,502,31.05,28.88,15.34,7.49,3.76
"02 Dec, 2021",1747,389,22.27,28.22,24.94,9.64,3.75
"01 Dec, 2021",2388,687,28.77,28.56,16.89,10.58,7.27
"30 Nov, 2021",1515,466,30.76,24.55,18.24,6.07,2.83
"29 Nov, 2021",1949,348,17.86,17.96,42.24,20.52,7.14
"28 Nov, 2021",1133,180,15.89,17.30,80.56,35.56,6.4
"27 Nov, 2021",1544,507,32.84,45.01,13.21,5.62,2.85
"26 Nov, 2021",1604,429,26.75,28.74,17.95,9.02,3.87
"25 Nov, 2021",969,169,17.44,18.06,53.25,18.46,3.12
"24 Nov, 2021",804,153,19.03,16.29,99.35,66.01,10.1
"23 Nov, 2021",1037,212,20.44,17.36,66.51,24.39,5.17
"22 Nov, 2021",945,192,20.32,15.98,32.81,10.26,1.97
"21 Nov, 2021",788,48,6.09,10.66,175,83.33,4
"20 Nov, 2021",887,130,14.66,18.15,43.08,15.38,2
"19 Nov, 2021",993,159,16.01,16.21,43.4,45.91,7.3
"18 Nov, 2021",1110,240,21.62,23.33,19.17,10.50,2.52
"17 Nov, 2021",1091,182,16.68,21.72,53.3,35.38,6.44
"
","
"
"
","
"
--Website--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
www_ireff_in,6020309,432280,7.35,9.34,0.14,0.04,19.09
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"31 Jan, 2022",71207,5234,7.35,10.49,0.11,0.03,0.15
"30 Jan, 2022",63886,4971,7.78,12.92,0.06,0.01,0.07
"29 Jan, 2022",66393,4337,6.53,8.17,0.07,0.02,0.09
"28 Jan, 2022",63078,4601,7.29,8.74,0.11,0.05,0.22
"27 Jan, 2022",64159,5917,9.22,12.84,0.22,0.08,0.48
"26 Jan, 2022",65198,3960,6.07,10.45,0.15,0.03,0.12
"25 Jan, 2022",64015,5003,7.82,11.50,0.14,0.08,0.41
"24 Jan, 2022",67935,4670,6.87,10.21,0.09,0.04,0.17
"23 Jan, 2022",58232,2972,5.10,6.28,0.1,0.05,0.15
"22 Jan, 2022",60121,3733,6.21,6.61,0,0.00,0
"21 Jan, 2022",65638,3798,5.79,5.88,0.08,0.02,0.09
"20 Jan, 2022",78912,4919,6.23,6.62,0.08,0.02,0.08
"19 Jan, 2022",74728,4772,6.39,6.78,0.61,0.14,0.69
"18 Jan, 2022",70694,3324,4.70,4.95,0.36,0.11,0.37
"17 Jan, 2022",74391,4259,5.73,5.96,0.12,0.06,0.26
"16 Jan, 2022",60767,2745,4.52,5.33,0.15,0.07,0.18
"15 Jan, 2022",72781,2948,4.05,4.60,0,0.00,0
"14 Jan, 2022",64637,3778,5.84,6.45,0.05,0.01,0.05
"13 Jan, 2022",71861,4310,6.00,6.26,0.12,0.05,0.2
"12 Jan, 2022",72617,3869,5.33,5.78,0.1,0.10,0.37
"11 Jan, 2022",73284,3994,5.45,6.26,0.1,0.05,0.2
"10 Jan, 2022",76177,4396,5.77,6.32,0.09,0.02,0.1
"09 Jan, 2022",65793,2934,4.46,5.25,0.17,0.04,0.11
"08 Jan, 2022",71258,3520,4.94,5.46,0.2,0.05,0.19
"07 Jan, 2022",72901,4075,5.59,6.27,0.07,0.01,0.03
"06 Jan, 2022",70772,4960,7.01,7.31,0.08,0.02,0.11
"05 Jan, 2022",81862,4591,5.61,5.90,0.17,0.06,0.26
"04 Jan, 2022",75130,4202,5.59,6.31,0.07,0.02,0.07
"03 Jan, 2022",82569,4958,6.00,6.52,0.08,0.02,0.08
"02 Jan, 2022",79043,4498,5.69,6.29,0.11,0.09,0.39
"01 Jan, 2022",81030,4648,5.74,6.14,0.17,0.07,0.31
"31 Dec, 2021",83346,5326,6.39,6.87,0.06,0.01,0.03
"30 Dec, 2021",81569,5368,6.58,7.18,0.07,0.01,0.06
"29 Dec, 2021",81737,5591,6.84,7.45,0.2,0.06,0.32
"28 Dec, 2021",82853,5917,7.14,7.71,0.08,0.04,0.23
"27 Dec, 2021",80583,6835,8.48,9.05,0.09,0.01,0.1
"26 Dec, 2021",71660,4943,6.90,8.10,0.14,0.03,0.15
"25 Dec, 2021",76924,5549,7.21,8.67,0.11,0.02,0.13
"24 Dec, 2021",81372,6198,7.62,9.12,0.06,0.03,0.21
"23 Dec, 2021",80719,6222,7.71,10.20,0.14,0.03,0.16
"22 Dec, 2021",85025,6462,7.60,10.48,0.09,0.03,0.18
"21 Dec, 2021",82279,5858,7.12,12.52,0.03,0.01,0.07
"20 Dec, 2021",86261,6547,7.59,13.66,0.03,0.01,0.06
"19 Dec, 2021",71854,4670,6.50,13.29,0.04,0.01,0.06
"18 Dec, 2021",80678,5276,6.54,11.29,0.17,0.05,0.27
"17 Dec, 2021",83911,6856,8.17,13.76,0.06,0.08,0.53
"16 Dec, 2021",87638,8143,9.29,15.03,0.1,0.01,0.11
"15 Dec, 2021",89014,8019,9.01,11.11,0.15,0.08,0.65
"14 Dec, 2021",88958,8915,10.02,10.66,0.06,0.01,0.11
"13 Dec, 2021",91913,10524,11.45,11.84,0.07,0.02,0.17
"12 Dec, 2021",94393,8006,8.48,8.89,0.29,0.08,0.61
"11 Dec, 2021",97859,8069,8.25,8.63,0.21,0.06,0.52
