"--Ad Unit Name--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
CM_demo_InApp_Technology_and_Computing_AppOpen,9072410,6136433,67.64,96.48,12.49,19.38,118944.85
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"24 Feb, 2022",207846,148873,71.63,94.99,321.22,15.71,2338.32
"23 Feb, 2022",209308,137025,65.47,84.21,183.15,12.58,1724.29
"22 Feb, 2022",177174,108765,61.39,78.82,186.21,11.08,1204.7
"21 Feb, 2022",167431,97702,58.35,79.87,286.85,12.55,1226.03
"20 Feb, 2022",1623485,1085036,66.83,96.70,368.23,18.96,20571.4
"19 Feb, 2022",1417315,995349,70.23,97.52,341.7,18.40,18310.39
"18 Feb, 2022",1860734,1268777,68.19,97.91,367.03,20.52,26036.84
"17 Feb, 2022",1917101,1289063,67.24,97.86,363.57,20.46,26371.08
"16 Feb, 2022",1492016,1005843,67.42,97.61,430.19,21.04,21161.8
"
","
"
"
","
"
