--Date--,"--Ad Requests--","--Ad Impressions--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"18 Feb, 2022",1860734,1268777,97.9,12.9,20.52,26036.76
"19 Feb, 2022",1417315,995349,97.5,11.9,18.39,18310.46
"20 Feb, 2022",1623485,1085036,96.7,12.3,18.95,20571.4
"21 Feb, 2022",167431,97702,79.9,10.5,12.54,1226.06
"22 Feb, 2022",177174,108765,78.8,9.7,11.07,1204.72
"23 Feb, 2022",209308,137025,84.2,9.9,12.58,1724.3
"24 Feb, 2022",207846,148873,95.0,11.2,15.70,2338.32
"25 Feb, 2022",257402,195397,99.9,11.7,18.52,3620.17
"26 Feb, 2022",329057,250581,100.0,11.8,18.09,4533.2
"27 Feb, 2022",350344,265862,100.0,12.2,18.23,4847.78
Total,"6,600,096","4,553,367",96.32,12.12,18.54,84.00
