--Country--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"United States",7089,1920,3864,54.51,4.32,8.28,15.9
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"15 Aug, 2021",359,171,359,100.00,7.02,13.57,2.32
"14 Aug, 2021",544,265,544,100.00,11.13,10.38,2.75
"13 Aug, 2021",423,225,423,100.00,7.18,8.53,1.92
"12 Aug, 2021",257,114,257,100.00,5.41,9.30,1.06
"11 Aug, 2021",832,364,695,83.53,9.88,7.80,2.84
"10 Aug, 2021",596,231,520,87.25,6.35,6.02,1.39
"09 Aug, 2021",3504,362,677,19.32,6.14,6.52,2.36
"08 Aug, 2021",186,70,143,76.88,11.51,5.57,0.39
"07 Aug, 2021",260,75,170,65.38,13.71,7.33,0.55
"06 Aug, 2021",37,20,35,94.59,0,4.50,0.09
"05 Aug, 2021",91,23,41,45.05,0,10.00,0.23
"
","
"
--Country--,--Device--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"United States",Tablets,209,71,187,89.47,2.82,3.52,0.25
"United States",Mobile,6880,1849,3677,53.44,4.38,8.46,15.65
"
","
"
"
","
"
--Country--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
India,179947,83522,128068,71.17,1.00,0.18,14.74
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"15 Aug, 2021",17500,9964,15197,86.84,2.09,0.20,2.02
"14 Aug, 2021",18049,10866,16350,90.59,1.84,0.17,1.9
"13 Aug, 2021",20264,11210,16956,83.68,1.99,0.15,1.73
"12 Aug, 2021",21814,12064,18039,82.69,1.95,0.15,1.85
"11 Aug, 2021",24235,13081,20533,84.72,1.6,0.17,2.19
"10 Aug, 2021",22929,12251,19184,83.67,2.87,0.19,2.36
"09 Aug, 2021",50518,12941,20046,39.68,2.51,0.18,2.32
