--Country--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
India,573459,300810,52.46,69.00,8.81,2.54,764.75
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"1 Nov, 2021",0,0,0,0,0,0,0
"2 Nov, 2021",0,0,0,0,0,0,0
"3 Nov, 2021",0,0,0,0,0,0,0
"4 Nov, 2021",0,0,0,0,0,0,0
"5 Nov, 2021",0,0,0,0,0,0,0
"6 Nov, 2021",0,0,0,0,0,0,0
"7 Nov, 2021",0,0,0,0,0,0,0
"8 Nov, 2021",0,0,0,0,0,0,0
"9 Nov, 2021",0,0,0,0,0,0,0
"10 Nov, 2021",881,736,83.5,100.0,2.9,0.61,0.45
"11 Nov, 2021",569,468,82.2,100.0,3.6,0.58,0.27
"12 Nov, 2021",66393,53475,80.5,100.0,20.1,1.86,99.48
"13 Nov, 2021",66230,53066,80.1,100.0,11.9,1.86,98.77
"14 Nov, 2021",74291,49242,66.3,81.9,15.2,1.88,92.71
"15 Nov, 2021",96224,957,1.0,1.4,11.1,1.18,1.13
"16 Nov, 2021",70312,686,1.0,1.3,15.2,0.89,0.61
"17 Nov, 2021",932,789,84.7,100.0,13.8,0.57,0.45
"18 Nov, 2021",1151,973,84.5,100.0,6.9,0.74,0.72
"19 Nov, 2021",7745,5276,68.1,99.7,23.2,1.68,8.88
"20 Nov, 2021",8912,6200,69.6,100.0,19.9,2.32,14.37
"21 Nov, 2021",6385,4422,69.3,99.7,25.4,2.34,10.35
"22 Nov, 2021",7755,5351,69.0,100.0,25.9,2.27,12.14
"23 Nov, 2021",11384,7771,68.3,100.0,24.4,2.29,17.81
"24 Nov, 2021",12253,8291,67.7,100.0,23.2,2.17,18.01
"25 Nov, 2021",23113,16666,72.1,99.9,18.7,2.56,42.59
"26 Nov, 2021",23180,16779,72.4,99.9,19.6,2.24,37.60
"27 Nov, 2021",23837,17140,71.9,100.0,18.4,2.57,44.08
"28 Nov, 2021",26724,19663,73.6,100.0,18.0,3.59,70.63
"29 Nov, 2021",23265,16689,71.7,100.0,20.3,5.85,97.56
"30 Nov, 2021",17642,12607,71.5,100.0,23.4,7.44,93.85
"
","
"
--Country--,--Device--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
India,Mobile,570072,298702,52.4,68.9,8.8,2.55,762.24
India,Tablets,3360,2096,62.4,85.4,8.6,1.19,2.50
India,"Connected TV",27,12,44.4,96.3,25.0,0.83,0.01
"
","
"
"
","
"
--Country--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"United States",12242,9452,77.21,97.75,5.59,16.02,151.44
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"1 Nov, 2021",0,0,0,0,0,0,0
"2 Nov, 2021",0,0,0,0,0,0,0
"3 Nov, 2021",0,0,0,0,0,0,0
"4 Nov, 2021",0,0,0,0,0,0,0
"5 Nov, 2021",0,0,0,0,0,0,0
"6 Nov, 2021",0,0,0,0,0,0,0
"7 Nov, 2021",0,0,0,0,0,0,0
"8 Nov, 2021",0,0,0,0,0,0,0
"9 Nov, 2021",0,0,0,0,0,0,0
"10 Nov, 2021",57,49,86.0,100.0,0.0,9.80,0.48
"11 Nov, 2021",64,52,81.3,100.0,27.3,10.77,0.56
"12 Nov, 2021",362,270,74.6,100.0,10.3,18.59,5.02
"13 Nov, 2021",327,263,80.4,100.0,10.6,12.78,3.36
"14 Nov, 2021",245,185,75.5,89.4,6.2,12.05,2.23
"15 Nov, 2021",303,82,27.1,30.7,1.2,8.05,0.66
"16 Nov, 2021",99,40,40.4,59.6,6.0,6.50,0.26
"17 Nov, 2021",84,73,86.9,100.0,104.1,7.67,0.56
"18 Nov, 2021",53,46,86.8,100.0,6.7,6.30,0.29
"19 Nov, 2021",498,422,84.7,100.0,13.3,21.04,8.88
"20 Nov, 2021",742,630,84.9,100.0,10.6,16.08,10.13
"21 Nov, 2021",582,467,80.2,100.0,18.9,15.31,7.15
"22 Nov, 2021",203,165,81.3,100.0,1.8,17.33,2.86
"23 Nov, 2021",227,184,81.1,100.0,2.7,14.40,2.65
"24 Nov, 2021",416,337,81.0,100.0,11.8,14.60,4.92
"25 Nov, 2021",1615,1230,76.2,100.0,16.2,13.24,16.28
"26 Nov, 2021",1354,1072,79.2,100.0,13.9,16.78,17.99
"27 Nov, 2021",2144,1672,78.0,100.0,14.2,18.34,30.66
"28 Nov, 2021",1782,1364,76.5,100.0,11.0,18.74,25.56
"29 Nov, 2021",335,245,73.1,100.0,11.7,19.27,4.72
"30 Nov, 2021",147,110,74.8,100.0,27.3,19.36,2.13
"
","
"
--Country--,--Device--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"United States","Connected TV",139,117,84.2,100.0,3.4,18.38,2.15
"United States",Mobile,9351,7126,76.2,97.1,5.5,16.13,114.95
"United States",Tablets,2752,2209,80.3,100.0,6.1,15.55,34.34
"
","
"
"
","
"
--Country--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Indonesia,69197,52168,75.39,99.77,5.81,1.14,59.7
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"1 Nov, 2021",0,0,0,0,0,0,0
"2 Nov, 2021",0,0,0,0,0,0,0
"3 Nov, 2021",0,0,0,0,0,0,0
"4 Nov, 2021",0,0,0,0,0,0,0
"5 Nov, 2021",0,0,0,0,0,0,0
"6 Nov, 2021",0,0,0,0,0,0,0
"7 Nov, 2021",0,0,0,0,0,0,0
"8 Nov, 2021",0,0,0,0,0,0,0
"9 Nov, 2021",0,0,0,0,0,0,0
"10 Nov, 2021",515,440,85.4,100.0,5.7,1.02,0.45
"11 Nov, 2021",317,246,77.6,99.7,3.7,0.77,0.19
"12 Nov, 2021",514,417,81.1,100.0,3.8,0.89,0.37
"13 Nov, 2021",717,582,81.2,100.0,5.3,1.24,0.72
"14 Nov, 2021",588,487,82.8,96.8,4.9,0.99,0.48
"15 Nov, 2021",463,281,60.7,79.3,6.4,1.17,0.33
"16 Nov, 2021",687,550,80.1,100.0,10.1,0.73,0.40
"17 Nov, 2021",728,576,79.1,100.0,9.2,0.90,0.52
"18 Nov, 2021",503,376,74.8,99.8,6.4,1.01,0.38
"19 Nov, 2021",982,740,75.4,96.2,14.0,1.20,0.89
"20 Nov, 2021",907,689,76.0,100.0,7.2,1.26,0.87
"21 Nov, 2021",787,631,80.2,100.0,16.8,1.33,0.84
"22 Nov, 2021",575,461,80.2,100.0,10.6,1.21,0.56
"23 Nov, 2021",862,657,76.2,100.0,23.0,1.11,0.73
"24 Nov, 2021",4744,3516,74.1,100.0,12.1,1.34,4.71
"25 Nov, 2021",8452,6146,72.7,100.0,17.2,1.24,7.65
"26 Nov, 2021",8051,5889,73.1,100.0,10.2,1.07,6.32
"27 Nov, 2021",11978,8795,73.4,100.0,11.3,1.05,9.25
"28 Nov, 2021",16373,12799,78.2,100.0,11.2,1.18,15.15
"29 Nov, 2021",6115,4488,73.4,100.0,18.8,1.21,5.43
"30 Nov, 2021",1338,1006,75.2,100.0,13.4,1.06,1.07
"
","
"
--Country--,--Device--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Indonesia,Mobile,67413,50785,75.3,99.8,5.8,1.15,58.48
Indonesia,Tablets,1732,1344,77.6,100.0,5.4,0.83,1.11
Indonesia,"Connected TV",34,27,79.4,100.0,3.7,3.70,0.10
Indonesia,Desktop,18,12,66.7,100.0,8.3,0.83,0.01
"
","
"
"
","
"
--Country--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Vietnam,34334,26948,78.49,99.97,4.94,1.23,33.22
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"1 Nov, 2021",0,0,0,0,0,0,0
"2 Nov, 2021",0,0,0,0,0,0,0
"3 Nov, 2021",0,0,0,0,0,0,0
"4 Nov, 2021",0,0,0,0,0,0,0
"5 Nov, 2021",0,0,0,0,0,0,0
"6 Nov, 2021",0,0,0,0,0,0,0
"7 Nov, 2021",0,0,0,0,0,0,0
"8 Nov, 2021",0,0,0,0,0,0,0
"9 Nov, 2021",0,0,0,0,0,0,0
"10 Nov, 2021",99,87,87.9,100.0,1.2,0.69,0.06
"11 Nov, 2021",13,11,84.6,100.0,0.0,1.82,0.02
"12 Nov, 2021",19,16,84.2,100.0,0.0,1.88,0.03
"13 Nov, 2021",65,59,90.8,100.0,0.0,1.19,0.07
"14 Nov, 2021",9,7,77.8,100.0,0.0,1.43,0.01
"15 Nov, 2021",88,73,83.0,100.0,4.1,0.41,0.03
"16 Nov, 2021",0,0,0,0,0,0,0
"17 Nov, 2021",43,38,88.4,100.0,2.6,0.79,0.03
"18 Nov, 2021",56,45,80.4,100.0,6.7,1.11,0.05
"19 Nov, 2021",293,187,63.8,100.0,16.5,1.82,0.34
"20 Nov, 2021",216,133,61.6,98.6,15.4,2.11,0.28
"21 Nov, 2021",147,52,35.4,98.6,5.8,1.54,0.08
"22 Nov, 2021",94,62,66.0,100.0,19.5,1.45,0.09
"23 Nov, 2021",8,3,37.5,100.0,33.3,3.33,0.01
"24 Nov, 2021",281,217,77.2,100.0,9.1,1.57,0.34
"25 Nov, 2021",7008,5439,77.6,100.0,12.4,1.03,5.59
"26 Nov, 2021",7796,6319,81.1,100.0,11.6,1.47,9.32
"27 Nov, 2021",7136,5745,80.5,100.0,8.4,1.27,7.29
