--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"01 Dec, 2021",21273,15689,73.75,99.87,10.98%,10.70,142.70
"02 Dec, 2021",24762,18556,74.94,99.80,9.71%,10.32,162.75
"03 Dec, 2021",22164,16416,74.07,99.95,10.89%,5.23,72.93
"04 Dec, 2021",26691,20097,75.30,99.96,10.01%,7.52,128.47
"05 Dec, 2021",24126,18158,75.26,99.95,9.71%,8.06,124.44
"06 Dec ,2021",0,0,0,0,0,0,0
"07 Dec ,2021",0,0,0,0,0,0,0
"08 Dec ,2021",0,0,0,0,0,0,0
"09 Dec ,2021",0,0,0,0,0,0,0
"10 Dec ,2021",0,0,0,0,0,0,0
"11 Dec ,2021",0,0,0,0,0,0,0
"12 Dec ,2021",0,0,0,0,0,0,0
"13 Dec ,2021",0,0,0,0,0,0,0
"14 Dec ,2021",0,0,0,0,0,0,0
"
","
"
Total,119016,88916,74.71,0,10.22,7.10,631.29
