"--Ad Unit Name--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
CM_demo.in_News_and_Politics_Local_News_ATF_fixed_MBS_300x75,8274267,6344127,76.67,97.10,2.64,0.51,3239.94
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"9 Jan, 2022",1593,1188,74.58,97.24,7.15,0.23,0.27
"8 Jan, 2022",1581,1221,77.23,97.53,4.91,0.20,0.24
"7 Jan, 2022",1480,1096,74.05,96.69,4.94,0.26,0.29
"6 Jan, 2022",1698,1288,75.85,97.94,5.49,0.25,0.32
"5 Jan, 2022",1579,1208,76.50,95.57,5.44,0.27,0.33
"4 Jan, 2022",1771,1341,75.72,96.27,6.32,0.31,0.41
"3 Jan, 2022",1761,1364,77.46,96.37,5.44,0.35,0.48
"2 Jan, 2022",1826,1355,74.21,95.29,4.64,0.40,0.54
"15 Jan, 2022",4457484,3543956,79.51,98.65,6.8,0.55,1947.13
"14 Jan, 2022",3797469,2785482,73.35,95.28,4.34,0.46,1288.47
"13 Jan, 2022",152,115,75.66,96.71,22.59,0.35,0.04
"12 Jan, 2022",1234,933,75.61,97.00,5.49,0.24,0.22
"11 Jan, 2022",1267,984,77.66,96.37,7.38,0.27,0.27
"10 Jan, 2022",1434,1094,76.29,97.14,4.79,0.25,0.27
"1 Jan, 2022",1938,1502,77.50,96.59,6.08,0.44,0.66
"
","
"
"
","
"
