"--Ad Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Unmatchedadrequests,56954,0,0.00,0,0,0,0
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"1 Mar, 2022",5197,0,0.0,0,0,0,0
"28 Feb, 2022",4894,0,0.0,0,0,0,0
"27 Feb, 2022",4316,0,0.0,0,0,0,0
"26 Feb, 2022",5517,0,0.0,0,0,0,0
"25 Feb, 2022",7012,0,0.0,0,0,0,0
"24 Feb, 2022",6796,0,0.0,0,0,0,0
"23 Feb, 2022",5765,0,0.0,0,0,0,0
"22 Feb, 2022",6945,0,0.0,0,0,0,0
"21 Feb, 2022",5281,0,0.0,0,0,0,0
"20 Feb, 2022",5231,0,0.0,0,0,0,0
"
","
"
"--Ad Types--","--Ad Units--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Unmatchedadrequests,CM_skymetweather.com_News_and_Politics_Weather_BTF_responsive_WC1,56954,0,0.00,0.00,0.00,0.00,0.00
"
","
"
"
","
"
"--Ad Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Animatedimage,12582,10826,86.04,100.00,0.90,0.15,1.65
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"1 Mar, 2022",954,829,86.9,100.0,0.8,0.13,0.11
"28 Feb, 2022",858,738,86.0,100.0,1.5,0.14,0.1
"27 Feb, 2022",744,654,87.9,100.0,1.1,0.11,0.07
"26 Feb, 2022",801,676,84.4,100.0,0.4,0.13,0.09
"25 Feb, 2022",1468,1259,85.8,100.0,0.7,0.13,0.16
"24 Feb, 2022",1271,1070,84.2,100.0,1.4,0.12,0.13
"23 Feb, 2022",1736,1499,86.3,100.0,0.6,0.15,0.23
"22 Feb, 2022",1974,1731,87.7,100.0,0.5,0.18,0.31
"21 Feb, 2022",1558,1348,86.5,100.0,1.1,0.23,0.31
"20 Feb, 2022",1218,1022,83.9,100.0,1.3,0.14,0.14
"
","
"
"--Ad Types--","--Ad Units--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Animatedimage,CM_skymetweather.com_News_and_Politics_Weather_BTF_responsive_WC1,12582,10826,86.00,100.00,0.00,0.15,1.65
"
","
"
"
","
"
"--Ad Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Image,86332,73313,84.92,100.00,0.62,0.16,11.45
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"1 Mar, 2022",5478,4815,87.9,100.0,1.0,0.15,0.71
"28 Feb, 2022",5403,4717,87.3,100.0,0.6,0.16,0.74
"27 Feb, 2022",6505,5557,85.4,100.0,0.7,0.13,0.73
"26 Feb, 2022",8984,7586,84.4,100.0,0.6,0.15,1.14
"25 Feb, 2022",12574,10574,84.1,100.0,0.6,0.14,1.47
"24 Feb, 2022",9720,8208,84.4,100.0,0.7,0.14,1.16
"23 Feb, 2022",10065,8485,84.3,100.0,0.5,0.16,1.36
"22 Feb, 2022",10585,9042,85.4,100.0,0.5,0.20,1.81
"21 Feb, 2022",8085,6846,84.7,100.0,0.6,0.17,1.16
"20 Feb, 2022",8933,7483,83.8,100.0,0.5,0.16,1.17
"
","
"
"--Ad Types--","--Ad Units--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Image,CM_skymetweather.com_News_and_Politics_Weather_BTF_responsive_WC1,86332,73313,84.90,100.00,0.00,0.16,11.45
"
","
"
"
","
"
"--Ad Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Richmedia,221144,177320,80.18,100.00,1.03,0.16,28.47
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"1 Mar, 2022",15961,13245,83.0,100.0,1.1,0.16,2.17
"28 Feb, 2022",16122,13194,81.8,100.0,1.4,0.15,1.95
"27 Feb, 2022",16358,13099,80.1,100.0,1.0,0.15,1.92
"26 Feb, 2022",23219,18299,78.8,100.0,0.9,0.14,2.61
"25 Feb, 2022",30394,24304,80.0,100.0,0.9,0.14,3.45
"24 Feb, 2022",28875,22890,79.3,100.0,1.0,0.14,3.16
"23 Feb, 2022",25737,20433,79.4,100.0,1.1,0.16,3.37
"22 Feb, 2022",26936,21726,80.7,100.0,1.0,0.19,4.2
"21 Feb, 2022",20172,16220,80.4,100.0,1.0,0.20,3.21
"20 Feb, 2022",17370,13910,80.1,100.0,1.0,0.17,2.43
"
","
"
"--Ad Types--","--Ad Units--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Richmedia,CM_skymetweather.com_News_and_Politics_Weather_BTF_responsive_WC1,221144,177320,80.20,100.00,0.00,0.16,28.47
"
","
"
"
","
"
"--Ad Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Text,410158,350252,85.39,100.00,1.34,0.19,68.11
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"1 Mar, 2022",25483,21837,85.7,100.0,1.2,0.17,3.7
"28 Feb, 2022",27990,23917,85.4,100.0,1.3,0.17,4.08
"27 Feb, 2022",28466,24275,85.3,100.0,1.3,0.18,4.25
"26 Feb, 2022",46865,39877,85.1,100.0,1.4,0.18,7.06
"25 Feb, 2022",60358,51785,85.8,100.0,1.4,0.18,9.26
"24 Feb, 2022",51163,43426,84.9,100.0,1.5,0.18,7.62
"23 Feb, 2022",40603,34716,85.5,100.0,1.3,0.20,6.79
"22 Feb, 2022",57622,49456,85.8,100.0,1.2,0.24,11.85
"21 Feb, 2022",39736,33758,85.0,100.0,1.3,0.23,7.8
"20 Feb, 2022",31872,27205,85.4,100.0,1.5,0.21,5.7
"
","
"
"--Ad Types--","--Ad Units--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Text,CM_skymetweather.com_News_and_Politics_Weather_BTF_responsive_WC2,3,3,100.00,100.00,0.00,0.00,0.00
Text,CM_skymetweather.com_News_and_Politics_Weather_BTF_responsive_WC1,410155,350249,85.40,100.00,0.00,0.19,68.11
"
","
"
"
","
"
