"--Ad Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Text,16924634,9159880,54.12,100.00,0.24,0.11,1001.46
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"16 Feb, 2022",94069,42194,44.85,100.00,0.34,0.13,5.36
"15 Feb, 2022",92590,44401,47.95,100.00,0.34,0.12,5.39
"14 Feb, 2022",103063,48266,46.83,100.00,0.34,0.12,6
"13 Feb, 2022",78254,28283,36.14,100.00,0.52,0.16,4.39
"12 Feb, 2022",89109,34539,38.76,100.00,0.47,0.14,4.75
"11 Feb, 2022",162835,103367,63.48,100.00,0.12,0.09,9.21
"10 Feb, 2022",167523,113814,67.94,100.00,0.08,0.08,8.76
"9 Feb, 2022",234257,168418,71.89,100.00,0.08,0.06,10.45
"8 Feb, 2022",386098,298031,77.19,100.00,0.05,0.06,16.93
"7 Feb, 2022",135739,66694,49.13,100.00,0.33,0.10,6.95
"6 Feb, 2022",100298,50905,50.75,100.00,0.33,0.09,4.55
"5 Feb, 2022",102609,55213,53.81,100.00,0.39,0.08,4.46
"4 Feb, 2022",126127,69556,55.15,100.00,0.34,0.09,6.48
"3 Feb, 2022",123130,63509,51.58,100.00,0.34,0.11,6.76
"2 Feb, 2022",121884,64225,52.69,100.00,0.29,0.10,6.15
"1 Feb, 2022",315316,243211,77.13,100.00,0.07,0.07,17.02
"31 Jan, 2022",343144,268576,78.27,100.00,0.07,0.08,20.85
"30 Jan, 2022",122775,59860,48.76,100.00,0.28,0.12,7.33
"29 Jan, 2022",129378,62465,48.28,100.00,0.30,0.13,7.84
"28 Jan, 2022",110734,51750,46.73,100.00,0.31,0.13,6.89
"27 Jan, 2022",119108,56446,47.39,100.00,0.30,0.13,7.36
"26 Jan, 2022",106488,46681,43.84,100.00,0.38,0.14,6.55
"25 Jan, 2022",146313,65653,44.87,100.00,0.40,0.13,8.52
"24 Jan, 2022",152087,68003,44.71,100.00,0.33,0.13,8.89
"23 Jan, 2022",120695,52862,43.80,100.00,0.38,0.13,7.03
"22 Jan, 2022",115901,48916,42.20,100.00,0.44,0.13,6.48
"21 Jan, 2022",121476,47628,39.21,100.00,0.43,0.14,6.54
"20 Jan, 2022",123688,52810,42.70,100.00,0.37,0.12,6.53
"19 Jan, 2022",110443,44690,40.46,100.00,0.45,0.12,5.56
"18 Jan, 2022",97149,35299,36.33,100.00,0.52,0.13,4.62
"17 Jan, 2022",139265,70873,50.89,100.00,0.20,0.09,6.65
"16 Jan, 2022",190550,134449,70.56,100.00,0.09,0.07,9.84
"15 Jan, 2022",226242,169095,74.74,100.00,0.08,0.08,13.42
"14 Jan, 2022",390134,296175,75.92,100.00,0.06,0.08,22.9
"13 Jan, 2022",143513,71924,50.12,100.00,0.27,0.10,7.09
"12 Jan, 2022",168735,83487,49.48,100.00,0.30,0.10,8.32
"11 Jan, 2022",214443,110146,51.36,100.00,0.30,0.09,9.43
"10 Jan, 2022",211172,109134,51.68,100.00,0.36,0.09,10.27
"9 Jan, 2022",183268,95263,51.98,100.00,0.33,0.08,7.93
"8 Jan, 2022",235831,121225,51.40,100.00,0.27,0.08,10.2
"7 Jan, 2022",225154,120624,53.57,100.00,0.30,0.07,8.64
"6 Jan, 2022",214160,105192,49.12,100.00,0.28,0.09,8.96
"5 Jan, 2022",272873,133185,48.81,100.00,0.27,0.08,10.98
"4 Jan, 2022",275775,131286,47.61,100.00,0.30,0.09,11.4
"3 Jan, 2022",241580,118457,49.03,100.00,0.28,0.08,9.83
"2 Jan, 2022",208538,104363,50.05,100.00,0.30,0.09,9.06
"1 Jan, 2022",211464,107798,50.98,100.00,0.26,0.08,8.65
"31 Dec, 2021",225930,117752,52.12,100.00,0.25,0.09,10.37
"30 Dec, 2021",228954,124578,54.41,100.00,0.27,0.10,11.9
"29 Dec, 2021",207137,101097,48.81,100.00,0.29,0.12,11.91
"28 Dec, 2021",172612,84496,48.95,100.00,0.29,0.12,10.45
"27 Dec, 2021",147094,72579,49.34,100.00,0.36,0.13,9.49
"26 Dec, 2021",146885,73406,49.98,100.00,0.28,0.13,9.46
"25 Dec, 2021",112870,51477,45.61,100.00,0.41,0.12,6.25
"24 Dec, 2021",131179,58833,44.85,100.00,0.38,0.12,6.8
"23 Dec, 2021",105542,45276,42.90,100.00,0.31,0.15,6.81
