"--Device Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Mobile,671372,527949,78.6,94.1,1.2,0.19,97.78
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"21 Feb, 2022",67664,53047,78.4,94.2,1.2,0.23,12.04
"22 Feb, 2022",96595,76800,79.5,94.4,1.1,0.23,17.71
"23 Feb, 2022",76873,60257,78.4,94.3,1.2,0.19,11.31
"24 Feb, 2022",91369,71240,78.0,94.1,1.3,0.16,11.69
"25 Feb, 2022",105603,83687,79.2,94.6,1.2,0.17,13.86
"26 Feb, 2022",80718,63289,78.4,94.5,1.2,0.17,10.55
"27 Feb, 2022",51414,40176,78.1,93.9,1.2,0.16,6.59
"28 Feb, 2022",49449,39008,78.9,93.7,1.3,0.17,6.47
"1 Mar, 2022",48421,37982,78.4,92.5,1.2,0.17,6.54
"2 Mar, 2022",3266,2463,75.4,93.0,2.3,0.41,1.02
"
","
"
--Devices--,"--Ad Units--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Mobile,CM_skymetweather.com_News_and_Politics_Weather_BTF_responsive_WC1,671369,527946,78.6,94.1,1.2,0.19,97.78
Mobile,CM_skymetweather.com_News_and_Politics_Weather_BTF_responsive_WC2,3,3,100.0,100.0,0.0,0.00,0.00
"
","
"
"
","
"
"--Device Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Desktop,50938,35223,69.1,77.6,0.1,0.10,3.38
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"21 Feb, 2022",6553,4814,73.5,81.2,0.1,0.09,0.42
"22 Feb, 2022",6737,4781,71.0,79.9,0.1,0.09,0.43
"23 Feb, 2022",6343,4517,71.2,80.8,0.1,0.08,0.38
"24 Feb, 2022",5839,4046,69.3,78.8,0,0.09,0.37
"25 Feb, 2022",5443,3836,70.5,79.3,0.1,0.10,0.39
"26 Feb, 2022",4081,2774,68.0,76.8,0,0.10,0.27
"27 Feb, 2022",4386,3042,69.4,76.3,0,0.11,0.32
"28 Feb, 2022",5263,3256,61.9,69.9,0.1,0.10,0.33
"1 Mar, 2022",5742,3767,65.6,72.9,0.1,0.12,0.44
"2 Mar, 2022",551,390,70.8,77.7,0,0.08,0.03
"
","
"
--Devices--,"--Ad Units--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Desktop,CM_skymetweather.com_News_and_Politics_Weather_BTF_responsive_WC1,50938,35223,69.1,77.6,0.1,0.10,3.38
"
","
"
"
","
"
"--Device Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Tablets,5626,3077,54.7,74.8,0.5,0.16,0.49
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"21 Feb, 2022",611,309,50.6,76.4,0.3,0.13,0.04
"22 Feb, 2022",723,371,51.3,77.5,0,0.08,0.03
"23 Feb, 2022",682,357,52.3,74.9,0.6,0.14,0.05
"24 Feb, 2022",611,304,49.8,73.6,0.7,0.10,0.03
"25 Feb, 2022",750,393,52.4,72.7,0.3,0.23,0.09
"26 Feb, 2022",580,370,63.8,79.0,0.5,0.19,0.07
"27 Feb, 2022",586,364,62.1,78.0,0.3,0.16,0.06
"28 Feb, 2022",553,302,54.6,69.3,0.7,0.23,0.07
"1 Mar, 2022",511,297,58.1,70.8,1.7,0.17,0.05
"2 Mar, 2022",19,10,52.6,78.9,0,0.00,0
"
","
"
--Devices--,"--Ad Units--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Tablets,CM_skymetweather.com_News_and_Politics_Weather_BTF_responsive_WC1,5626,3077,54.7,74.8,0.5,0.16,0.49
"
","
"
"
","
"
"--Device Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"Connected TV",50,25,50.0,66.0,0.0,0.00,0
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"21 Feb, 2022",4,2,50.0,50.0,0,0.00,0
"22 Feb, 2022",7,3,42.9,71.4,0,0.00,0
"23 Feb, 2022",8,2,25.0,50.0,0,0.00,0
"24 Feb, 2022",6,4,66.7,83.3,0,0.00,0
"25 Feb, 2022",10,6,60.0,70.0,0,0.00,0
"26 Feb, 2022",7,5,71.4,71.4,0,0.00,0
"27 Feb, 2022",3,3,100.0,100.0,0,0.00,0
"28 Feb, 2022",2,0,0.0,100.0,0,0,0
"1 Mar, 2022",3,0,0.0,0,0,0,0
"
","
"
--Devices--,"--Ad Units--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"Connected TV",CM_skymetweather.com_News_and_Politics_Weather_BTF_responsive_WC1,50,25,50.0,66.0,0.0,0.00,0.00
"
","
"
"
","
"
