--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"3 Dec, 2021",405,177,43.7,93.6,0.0,0.67,0.12
"4 Dec, 2021",536,250,46.6,95.9,0.0,0.84,0.21
"5 Dec, 2021",549,247,45.0,94.4,0.0,0.80,0.2
"6 Dec, 2021",335,163,48.7,95.8,0.0,0.85,0.14
"7 Dec, 2021",466,208,44.6,93.6,0.0,0.76,0.16
"8 Dec, 2021",380,167,43.9,93.9,0.6,0.83,0.14
"9 Dec, 2021",355,168,47.3,96.3,0.0,0.71,0.12
"10 Dec, 2021",385,180,46.8,95.6,0.0,0.77,0.14
"11 Dec, 2021",465,207,44.5,91.8,0.0,0.62,0.13
"12 Dec, 2021",494,223,45.1,94.7,0.0,0.85,0.19
"13 Dec, 2021",374,185,49.5,98.4,0.0,0.75,0.14
"14 Dec, 2021",381,180,47.2,95.3,0.6,0.66,0.12
"15 Dec, 2021",438,196,44.7,96.1,0.5,0.76,0.15
"16 Dec, 2021",363,156,43.0,94.2,0.0,0.96,0.15
"17 Dec, 2021",411,190,46.2,95.9,0.0,0.84,0.16
"18 Dec, 2021",475,215,45.3,95.2,0.0,0.88,0.19
"19 Dec, 2021",604,277,45.9,96.0,0.4,0.68,0.19
"20 Dec, 2021",429,190,44.3,93.5,0.0,0.63,0.12
"21 Dec, 2021",376,169,44.9,93.6,0.0,0.47,0.08
"22 Dec, 2021",332,146,44.0,95.5,0.0,0.61,0.09
"23 Dec, 2021",392,187,47.7,95.7,0.0,0.69,0.13
"24 Dec, 2021",414,179,43.2,95.2,0.0,0.67,0.12
"25 Dec, 2021",470,209,44.5,93.8,0.0,0.62,0.13
"26 Dec, 2021",650,294,45.2,93.2,0.0,0.54,0.16
"27 Dec, 2021",1074,260,24.2,95.8,0.0,0.88,0.23
"28 Dec, 2021",3013,334,11.1,95.6,1.8,2.21,0.74
"29 Dec, 2021",2712,319,11.8,96.4,0.6,1.47,0.47
"30 Dec, 2021",2600,312,12.0,94.3,1.0,2.78,0.87
"31 Dec, 2021",533,225,42.2,94.4,0.0,0.62,0.14
"1 Jan, 2022",655,290,44.3,91.1,0.0,0.48,0.14
"2 Jan, 2022",793,367,46.3,89.7,0.0,0.40,0.15
"3 Jan, 2022",541,251,46.4,95.9,0.0,0.51,0.13
"4 Jan, 2022",476,215,45.2,93.7,0.0,0.37,0.08
"5 Jan, 2022",425,196,46.1,96.5,0.0,0.40,0.08
"6 Jan, 2022",449,212,47.2,97.6,0.0,0.42,0.09
"7 Jan, 2022",476,213,44.7,97.1,0.0,0.42,0.09
"8 Jan, 2022",493,234,47.5,97.6,0.0,0.42,0.1
"9 Jan, 2022",498,221,44.4,96.4,0.0,0.49,0.11
"10 Jan, 2022",415,182,43.9,96.4,0.0,0.38,0.07
"11 Jan, 2022",410,171,41.7,94.9,0.0,0.52,0.09
"12 Jan, 2022",455,196,43.1,93.6,0.5,0.51,0.1
"13 Jan, 2022",267,114,42.7,96.6,0.9,0.52,0.06
"14 Jan, 2022",267,107,40.1,99.3,0.9,0.93,0.1
"15 Jan, 2022",459,158,34.4,98.3,0.0,0.75,0.12
"16 Jan, 2022",334,125,37.4,97.0,0.0,0.88,0.11
"17 Jan, 2022",295,101,34.2,97.6,0.0,0.79,0.08
"18 Jan, 2022",324,122,37.7,96.0,0.0,0.90,0.11
"19 Jan, 2022",352,156,44.3,98.9,0.0,0.57,0.09
"20 Jan, 2022",349,154,44.1,99.1,0.6,0.51,0.08
"21 Jan, 2022",413,186,45.0,98.1,0.0,0.48,0.09
"22 Jan, 2022",625,293,46.9,98.6,0.0,0.47,0.14
"23 Jan, 2022",454,215,47.4,98.2,0.0,0.69,0.15
"24 Jan, 2022",367,170,46.3,98.4,0.6,0.58,0.1
"25 Jan, 2022",324,153,47.2,96.6,0.0,0.52,0.08
"26 Jan, 2022",366,166,45.4,98.1,0.0,0.48,0.08
"27 Jan, 2022",345,148,42.9,95.4,1.4,0.47,0.07
"28 Jan, 2022",310,135,43.5,96.1,0.0,0.59,0.08
"29 Jan, 2022",404,188,46.5,98.8,0.0,0.58,0.11
"30 Jan, 2022",362,171,47.2,95.0,0.0,0.40,0.07
"31 Jan, 2022",273,125,45.8,95.2,0.8,0.48,0.06
"1 Feb, 2022",339,156,46.0,90.6,0.0,0.44,0.07
"2 Feb, 2022",345,148,42.9,88.4,0.0,0.47,0.07
"3 Feb, 2022",2681,1625,60.6,96.5,0.4,0.16,0.26
"4 Feb, 2022",4750,2813,59.2,95.7,0.3,0.11,0.31
"5 Feb, 2022",5255,3110,59.2,96.0,0.5,0.09,0.31
"6 Feb, 2022",5045,2996,59.4,95.0,0.2,0.11,0.33
"7 Feb, 2022",5142,3088,60.1,95.5,0.2,0.10,0.32
"8 Feb, 2022",4907,2842,57.9,93.1,0.2,0.09,0.27
"9 Feb, 2022",4656,2713,58.3,92.8,0.3,0.09,0.25
"10 Feb, 2022",4692,2720,58.0,92.2,0.2,0.09,0.26
"11 Feb, 2022",5126,2917,56.9,90.7,0.2,0.08,0.25
"12 Feb, 2022",5422,3005,55.4,89.9,0.2,0.08,0.25
"13 Feb, 2022",5169,2873,55.6,91.6,0.3,0.10,0.3
"14 Feb, 2022",4963,2749,55.4,89.2,0.1,0.08,0.24
"15 Feb, 2022",5221,2961,56.7,89.8,0.3,0.09,0.27
"16 Feb, 2022",4967,2772,55.8,91.0,0.5,0.09,0.26
"17 Feb, 2022",5911,3320,56.2,89.3,0.2,0.07,0.26
"18 Feb, 2022",5551,3123,56.3,89.9,0.2,0.06,0.21
"19 Feb, 2022",5674,3155,55.6,90.7,0.2,0.10,0.32
"20 Feb, 2022",5208,2926,56.2,89.6,0.2,0.07,0.23
"21 Feb, 2022",5418,2966,54.7,88.8,0.2,0.08,0.24
"22 Feb, 2022",5462,3081,56.4,89.5,0.5,0.07,0.22
"23 Feb, 2022",819,463,56.5,91.8,0.2,0.10,0.05
"24 Feb, 2022",4951,2767,55.9,90.1,0.2,0.09,0.25
"25 Feb, 2022",4910,2676,54.5,88.7,0.3,0.10,0.27
"26 Feb, 2022",5716,3209,56.1,89.5,0.1,0.08,0.28
"27 Feb, 2022",5432,2969,54.7,88.9,0.2,0.09,0.29
"28 Feb, 2022",5273,2793,53.0,84.3,0.5,0.07,0.2
"1 Mar, 2022",4168,2211,53.0,83.7,0.2,0.07,0.16
"2 Mar, 2022",4641,2460,53.0,84.5,0.2,0.07,0.19
"3 Mar, 2022",3600,1855,51.5,82.4,0.1,0.08,0.15
Total,174801,91410,52.3,91.3,0.2,0.18,16.28
