--Website--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
www_skymetweather_com,727920,566247,77.8,92.8,1.2,0.18,101.66
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"21 Feb, 2022",74815,58167,77.7,93.0,1.1,0.21,12.5
"22 Feb, 2022",104054,81952,78.8,93.3,1,0.22,18.16
"23 Feb, 2022",83896,65132,77.6,93.1,1.1,0.18,11.75
"24 Feb, 2022",97818,75589,77.3,93.1,1.2,0.16,12.09
"25 Feb, 2022",111802,87920,78.6,93.7,1.1,0.16,14.34
"26 Feb, 2022",85381,66435,77.8,93.5,1.2,0.16,10.9
"27 Feb, 2022",56381,43581,77.3,92.4,1.1,0.16,6.97
"28 Feb, 2022",55263,42564,77.0,91.1,1.2,0.16,6.87
"1 Mar, 2022",54674,42044,76.9,90.3,1.1,0.17,7.03
"2 Mar, 2022",3836,2863,74.6,90.7,2,0.37,1.05
"
","
"
--Website--,"--Ad Units--","--Ad Requests--","--Fill Rate--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
www_skymetweather_com,CM_skymetweather.com_News_and_Politics_Weather_BTF_responsive_WC1,727917,566244,77.8,92.8,1.2,0.18,101.66
www_skymetweather_com,CM_skymetweather.com_News_and_Politics_Weather_BTF_responsive_WC2,3,3,100.0,100.0,0.0,0.00,0.00
"
","
"
"
","
"
--Website--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
skymetweather_com,62,26,41.9,41.9,3.8,0.00,0
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"21 Feb, 2022",17,5,29.4,29.4,20,0.00,0
"22 Feb, 2022",8,3,37.5,37.5,0,0.00,0
"23 Feb, 2022",10,1,10.0,10.0,0,0.00,0
"24 Feb, 2022",7,5,71.4,71.4,0,0.00,0
"25 Feb, 2022",4,2,50.0,50.0,0,0.00,0
"26 Feb, 2022",2,2,100.0,100.0,0,0.00,0
"27 Feb, 2022",7,4,57.1,57.1,0,0.00,0
"28 Feb, 2022",4,2,50.0,50.0,0,0.00,0
"1 Mar, 2022",3,2,66.7,66.7,0,0.00,0
"
","
"
--Website--,"--Ad Units--","--Ad Requests--","--Fill Rate--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
skymetweather_com,CM_skymetweather.com_News_and_Politics_Weather_BTF_responsive_WC1,62,26,41.9,41.9,3.8,0.00,0.00
"
","
"
"
","
"
--Website--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
(unknown),4,1,25.0,50.0,0.0,0.00,0
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"26 Feb, 2022",3,1,33.3,33.3,0,0.00,0
"27 Feb, 2022",1,0,0.0,100.0,0,0,0
"
","
"
--Website--,"--Ad Units--","--Ad Requests--","--Fill Rate--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
(unknown),CM_skymetweather.com_News_and_Politics_Weather_BTF_responsive_WC1,4,1,25.0,50.0,0.0,0.00,0.00
"
","
"
"
","
"
