--Date--,"--Ad Requests--","--Ad Impressions--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"20 Feb, 2022",64624,49620,91.9,1.2,0.19,9.44
"21 Feb, 2022",74832,58172,92.9,1.1,0.21,12.48
"22 Feb, 2022",104062,81955,93.3,1.0,0.22,18.17
"23 Feb, 2022",83906,65133,93.1,1.1,0.18,11.75
"24 Feb, 2022",97825,75594,93.1,1.2,0.15,12.07
"25 Feb, 2022",111806,87922,93.7,1.1,0.16,14.34
"26 Feb, 2022",85386,66438,93.5,1.2,0.16,10.9
"27 Feb, 2022",56389,43585,92.3,1.1,0.15,6.97
"28 Feb, 2022",55267,42566,91.1,1.2,0.16,6.87
"1 Mar, 2022",53073,40726,90.2,1.1,0.16,6.69
Total,"787,170","611,711",92.76,1.16,0.18,109.68
