--Date--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"15 Jan, 2022","4,457,484","3,543,956","4,397,305",98.65,3.11,0.55,"1,947.13"
"14 Jan, 2022","3,797,469","2,785,487","3,618,418",95.28,2.05,0.46,"1,288.47"
"13 Jan, 2022",154,116,149,96.75,8.62,0.30,0.03
"12 Jan, 2022","1,234",933,"1,197",97.00,2.25,0.24,0.22
"11 Jan, 2022","1,267",984,"1,221",96.37,3.05,0.27,0.27
"10 Jan, 2022","1,434","1,094","1,393",97.14,2.38,0.24,0.27
"9 Jan, 2022","1,593","1,188","1,549",97.24,3.11,0.23,0.27
"8 Jan, 2022","1,581","1,221","1,542",97.53,2.38,0.20,0.25
"7 Jan, 2022","1,480","1,096","1,431",96.69,2.65,0.26,0.28
"6 Jan, 2022","1,698","1,288","1,663",97.94,2.64,0.25,0.32
"5 Jan, 2022","1,579","1,208","1,509",95.57,2.65,0.28,0.33
"4 Jan, 2022","1,771","1,341","1,705",96.27,2.76,0.31,0.41
"3 Jan, 2022","1,761","1,364","1,697",96.37,2.49,0.35,0.48
"2 Jan, 2022","1,826","1,355","1,740",95.29,2.14,0.40,0.54
"1 Jan, 2022","1,938","1,502","1,872",96.59,2.73,0.44,0.65
Total,"8,274,269","6,344,133","8,034,391",97.10,2.64,0.00,6.32
