"--Ad Unit Name--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
CM_skymetweather.com_News_and_Politics_Weather_BTF_responsive_WC1,4281794,2508874,58.59,68.83,0.86,0.25,639.62
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"9 Nov, 2021",181523,95066,52.37,61.38,0.54,0.13,12.43
"8 Nov, 2021",180589,90972,50.38,58.81,0.49,0.15,13.62
"7 Nov, 2021",174512,106162,60.83,71.69,0.49,0.20,21.09
"6 Nov, 2021",107271,71741,66.88,79.90,0.73,0.26,18.4
"5 Nov, 2021",93744,62212,66.36,82.06,0.8,0.32,19.97
"30 Nov, 2021",148026,88986,60.12,70.85,0.85,0.26,23.32
"29 Nov, 2021",135014,82811,61.34,71.65,0.77,0.32,26.5
"28 Nov, 2021",130921,86312,65.93,77.09,0.78,0.28,24.24
"27 Nov, 2021",104677,71228,68.05,79.39,0.84,0.31,22.03
"26 Nov, 2021",119508,72816,60.93,70.72,0.77,0.27,19.8
"25 Nov, 2021",127162,74137,58.30,68.05,0.7,0.26,19.62
"24 Nov, 2021",119779,67941,56.72,66.25,0.78,0.27,18.52
"23 Nov, 2021",122259,72621,59.40,69.20,0.83,0.31,22.33
"22 Nov, 2021",132347,78384,59.23,69.05,0.95,0.29,22.82
"21 Nov, 2021",157840,108335,68.64,81.28,1.27,0.32,35.09
"20 Nov, 2021",180014,123709,68.72,82.22,1.74,0.35,43.57
"19 Nov, 2021",250315,167946,67.09,79.56,1.14,0.31,52.16
"18 Nov, 2021",292134,166169,56.88,66.64,0.96,0.26,43.75
"17 Nov, 2021",246454,130699,53.03,62.12,0.89,0.24,31.57
"16 Nov, 2021",183201,98639,53.84,62.79,0.85,0.25,24.68
"15 Nov, 2021",165930,90616,54.61,62.99,0.87,0.26,23.42
"14 Nov, 2021",144588,88376,61.12,71.08,0.78,0.25,21.91
"13 Nov, 2021",162683,99463,61.14,71.51,0.88,0.25,25.07
"12 Nov, 2021",188858,101383,53.68,62.66,0.86,0.22,21.85
"11 Nov, 2021",212019,101680,47.96,56.11,0.6,0.16,16.02
"10 Nov, 2021",220426,110470,50.12,59.18,0.54,0.14,15.84
"
","
"
"
","
"
"--Ad Unit Name--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
CM_skymetweather.com_News_and_Politics_Weather_BTF_responsive_WC2,2247050,79156,3.52,51.35,0.17,0.06,4.91
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"9 Nov, 2021",182029,5974,3.28,52.82,0.18,0.06,0.35
"8 Nov, 2021",180994,5548,3.07,48.75,0.27,0.06,0.35
"7 Nov, 2021",174878,7130,4.08,59.09,0.22,0.06,0.45
"6 Nov, 2021",107569,5905,5.49,66.97,0.14,0.07,0.4
"5 Nov, 2021",93955,3789,4.03,66.47,0.24,0.09,0.34
"26 Nov, 2021",1,1,100.00,100.00,0,0.00,0
"23 Nov, 2021",1,1,100.00,100.00,0,0.00,0
"22 Nov, 2021",1,1,100.00,100.00,0,0.00,0
"21 Nov, 2021",1,1,100.00,100.00,0,0.00,0
"20 Nov, 2021",2,1,50.00,100.00,0,0.00,0
"19 Nov, 2021",2,2,100.00,100.00,0,0.00,0
"18 Nov, 2021",89,73,82.02,92.13,1.37,0.27,0.02
"17 Nov, 2021",223258,6347,2.84,44.21,0.17,0.06,0.41
"16 Nov, 2021",183975,5944,3.23,44.32,0.27,0.06,0.37
"15 Nov, 2021",166656,4970,2.98,44.38,0.16,0.06,0.31
"14 Nov, 2021",145414,5370,3.69,54.41,0.09,0.06,0.32
"13 Nov, 2021",163705,9068,5.54,54.59,0.1,0.05,0.48
"12 Nov, 2021",189899,7218,3.80,49.78,0.19,0.06,0.41
"11 Nov, 2021",213137,4832,2.27,47.52,0.04,0.06,0.31
"10 Nov, 2021",221484,6981,3.15,51.02,0.16,0.06,0.39
"
","
"
"
","
"
