"--Ad Types--","--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
Video,371578,192933,371578,100.00,1.98,0.37,70.53
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"10 Aug, 2021",43339,21483,43339,100.00,2.23,0.28,6.07
"09 Aug, 2021",33022,16716,33022,100.00,2.47,0.29,4.92
"08 Aug, 2021",36116,19175,36116,100.00,2.36,0.37,7.05
"07 Aug, 2021",45634,24990,45634,100.00,2.03,0.37,9.16
"06 Aug, 2021",33722,18449,33722,100.00,2.08,0.44,8.09
"05 Aug, 2021",38971,20875,38971,100.00,1.94,0.42,8.75
"04 Aug, 2021",38611,20733,38611,100.00,1.89,0.40,8.31
"03 Aug, 2021",30854,16301,30854,100.00,1.79,0.36,5.93
"02 Aug, 2021",38198,19077,38198,100.00,1.40,0.35,6.65
"01 Aug, 2021",33111,15134,33111,100.00,1.51,0.37,5.6
"
","
"
"--Ad Types--","--Ad Units--","--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
Video,CM_hindisahayta.in_Education_BTF_responsive_WC2,254,0,254,100.00,0.00,0.00,0.00
Video,CM_HINDISAHAYTA_ATF_300x250,2,0,2,100.00,0.00,0.00,0.00
Video,CM_gbwa.xyz_Technology_and_Computing_BTF_multisize_MBRS,2,1,2,100.00,0.00,0.00,0.00
Video,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC4,10947,3637,10947,100.00,0.00,0.05,0.20
Video,CM_hindisahayta.in_Education_BTF_responsive_WC1,2326,1837,2326,100.00,0.00,0.53,0.98
Video,CM_hindisahayta.in_Education_ATF_responsive,2331,1851,2331,100.00,0.00,0.89,1.64
Video,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC1,78867,29464,78867,100.00,0.00,0.14,4.11
Video,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC3,53398,29221,53398,100.00,0.00,0.16,4.53
Video,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC2,64540,37254,64540,100.00,0.00,0.23,8.64
Video,CM_gbwa.xyz_Technology_and_Computing_ATF_responsive,158911,89668,158911,100.00,0.00,0.56,50.43
"
","
"
"
","
"
"--Ad Types--","--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
Richmedia,1755023,1122972,1755023,100.00,0.50,0.15,169.52
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"10 Aug, 2021",220383,133023,220383,100.00,0.48,0.17,22.47
"09 Aug, 2021",173298,105317,173298,100.00,0.50,0.16,16.75
"08 Aug, 2021",224530,147741,224530,100.00,0.48,0.16,22.98
"07 Aug, 2021",158952,105126,158952,100.00,0.57,0.18,18.84
"06 Aug, 2021",171399,114566,171399,100.00,0.49,0.17,19.51
"05 Aug, 2021",164334,109540,164334,100.00,0.54,0.15,16.51
"04 Aug, 2021",154958,102030,154958,100.00,0.53,0.14,14.69
"03 Aug, 2021",217721,135452,217721,100.00,0.42,0.12,16.9
"02 Aug, 2021",142413,90353,142413,100.00,0.50,0.13,11.38
"01 Aug, 2021",127035,79824,127035,100.00,0.54,0.12,9.49
"
","
"
"--Ad Types--","--Ad Units--","--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
Richmedia,CM_hindisahayta.in_Education_BTF_responsive_WC2,10401,0,10401,100.00,0.00,0.00,0.00
Richmedia,CM_HINDISAHAYTA_PARENT,1,0,1,100.00,0.00,0.00,0.00
Richmedia,CM_HINDISAHAYTA_ATF_300x250,15,12,15,100.00,0.00,0.00,0.00
Richmedia,CM_hindisahayta.in_Education_Top,22,0,22,100.00,0.00,0.00,0.00
Richmedia,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC4,37115,15115,37115,100.00,0.00,0.06,0.95
Richmedia,CM_hindisahayta.in_Education_ATF_responsive,40388,34452,40388,100.00,0.00,0.15,5.29
Richmedia,CM_hindisahayta.in_Education_BTF_multisize_MBRS,179608,167595,179608,100.00,0.00,0.05,7.98
Richmedia,CM_hindisahayta.in_Education_BTF_responsive_WC1,55711,48158,55711,100.00,0.00,0.18,8.66
Richmedia,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC3,181593,102100,181593,100.00,0.00,0.09,9.05
Richmedia,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC1,214281,103893,214281,100.00,0.00,0.11,11.18
Richmedia,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC2,233990,133904,233990,100.00,0.00,0.09,12.42
Richmedia,CM_gbwa.xyz_Technology_and_Computing_ATF_responsive,185188,114089,185188,100.00,0.00,0.17,19.06
Richmedia,CM_gbwa.xyz_Technology_and_Computing_BTF_multisize_MBRS,616710,403654,616710,100.00,0.00,0.24,94.93
"
","
"
"
","
"
"--Ad Types--","--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
Animatedimage,137573,97434,137573,100.00,0.40,0.12,11.74
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"10 Aug, 2021",34261,23839,34261,100.00,0.35,0.10,2.29
"09 Aug, 2021",17819,12099,17819,100.00,0.34,0.11,1.3
"08 Aug, 2021",18766,13830,18766,100.00,0.33,0.11,1.57
"07 Aug, 2021",10967,7960,10967,100.00,0.54,0.14,1.08
"06 Aug, 2021",15525,11055,15525,100.00,0.27,0.11,1.24
"05 Aug, 2021",10381,7588,10381,100.00,0.53,0.12,0.93
"04 Aug, 2021",5058,3679,5058,100.00,0.54,0.15,0.57
"03 Aug, 2021",14387,10024,14387,100.00,0.42,0.15,1.55
"02 Aug, 2021",8223,5792,8223,100.00,0.60,0.15,0.89
"01 Aug, 2021",2186,1568,2186,100.00,0.83,0.20,0.32
"
","
"
"--Ad Types--","--Ad Units--","--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
Animatedimage,CM_hindisahayta.in_Education_BTF_responsive_WC2,169,0,169,100.00,0.00,0.00,0.00
Animatedimage,CM_hindisahayta.in_Education_BTF_multisize_MBRS,1644,1581,1644,100.00,0.00,0.06,0.10
Animatedimage,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC4,6530,3792,6530,100.00,0.00,0.04,0.15
Animatedimage,CM_hindisahayta.in_Education_ATF_responsive,1386,1284,1386,100.00,0.00,0.14,0.18
Animatedimage,CM_hindisahayta.in_Education_BTF_responsive_WC1,1736,1609,1736,100.00,0.00,0.14,0.23
Animatedimage,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC3,24215,17349,24215,100.00,0.00,0.07,1.22
Animatedimage,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC2,30734,22503,30734,100.00,0.00,0.09,2.05
Animatedimage,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC1,33666,21307,33666,100.00,0.00,0.10,2.05
Animatedimage,CM_gbwa.xyz_Technology_and_Computing_ATF_responsive,20272,15130,20272,100.00,0.00,0.15,2.30
