"--Device Types--","--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
Mobile,13085747,8356060,12537973,95.81,1.14,0.24,2005.73
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"10 Aug, 2021",1647116,1002549,1572472,95.47,7.06,0.22,216.61
"09 Aug, 2021",1217244,746541,1156059,94.97,8.8,0.23,168.57
"08 Aug, 2021",1469547,968330,1415451,96.32,7.09,0.23,220.62
"07 Aug, 2021",1213427,802582,1175819,96.90,7.65,0.25,202.36
"06 Aug, 2021",1176919,776790,1137571,96.66,7.68,0.27,210.32
"05 Aug, 2021",1256851,830107,1221300,97.17,7.71,0.26,218.12
"04 Aug, 2021",1370648,896803,1321674,96.43,6.99,0.24,218.96
"03 Aug, 2021",1334281,860839,1279895,95.92,7.05,0.22,193.55
"02 Aug, 2021",1244645,777747,1173610,94.29,7.27,0.24,189.21
"01 Aug, 2021",1155069,693772,1084122,93.86,7.09,0.24,167.41
"
","
"
--Devices--,"--Ad Units--","--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
Mobile,CM_gbwa.xyz_Technology_and_Computing_BTF_multisize_MBRS,2786086,1932446,2719729,97.62,1.46,0.29,567.73
Mobile,CM_gbwa.xyz_Technology_and_Computing_ATF_responsive,2127659,1414755,2055319,96.60,1.95,0.42,589.40
Mobile,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC2,2127556,1327160,1995035,93.77,0.85,0.16,213.46
Mobile,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC1,2127505,1001953,2028889,95.36,0.85,0.16,159.32
Mobile,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC3,2127439,1292316,2024402,95.16,0.77,0.15,191.08
Mobile,CM_hindisahayta.in_Education_BTF_multisize_MBRS,872249,798852,846456,97.04,0.53,0.13,101.59
Mobile,CM_hindisahayta.in_Education_ATF_responsive,243634,210402,235928,96.84,1.27,0.45,94.40
Mobile,CM_hindisahayta.in_Education_BTF_responsive_WC1,243648,209878,236967,97.26,0.93,0.35,74.03
Mobile,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC4,383869,168090,354760,92.42,0.43,0.09,14.66
Mobile,CM_hindisahayta.in_Education_BTF_responsive_WC2,45874,89,40283,87.81,1.12,0.45,0.04
