--Country--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
India,6329286,2518933,39.80,63.13,0.83,0.23,571.22
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"9 Nov, 2021",349926,97689,27.92,57.49,2.2,0.11,10.67
"8 Nov, 2021",347558,92587,26.64,53.85,1.98,0.13,11.71
"7 Nov, 2021",337743,109938,32.55,65.77,1.49,0.18,19.24
"6 Nov, 2021",208280,75511,36.25,73.94,2.77,0.22,16.89
"5 Nov, 2021",181776,64100,35.26,74.72,3.09,0.29,18.56
"30 Nov, 2021",144102,86831,60.26,71.01,3.62,0.24,20.71
"29 Nov, 2021",131193,80638,61.47,71.75,3.27,0.29,23.68
"28 Nov, 2021",126654,84103,66.40,77.45,3.26,0.25,21.34
"27 Nov, 2021",101802,69366,68.14,79.42,3.49,0.27,18.47
"26 Nov, 2021",115755,70835,61.19,70.93,3.24,0.24,16.69
"25 Nov, 2021",123037,71863,58.41,68.06,3.02,0.23,16.42
"24 Nov, 2021",115477,65717,56.91,66.40,3.29,0.24,15.57
"23 Nov, 2021",116363,69694,59.89,69.73,3.53,0.26,18.39
"22 Nov, 2021",127366,75575,59.34,69.14,4.01,0.25,18.88
"21 Nov, 2021",152347,105139,69.01,81.65,5.26,0.29,30.83
"20 Nov, 2021",174787,120614,69.01,82.55,7.23,0.33,40.08
"19 Nov, 2021",245679,164899,67.12,79.57,4.7,0.30,48.92
"18 Nov, 2021",290891,165615,56.93,66.67,4.08,0.26,42.94
"17 Nov, 2021",457842,133855,29.24,53.88,3.6,0.22,28.96
"16 Nov, 2021",355913,101736,28.58,53.90,3.41,0.22,21.98
"15 Nov, 2021",321927,92723,28.80,53.94,3.49,0.22,20.55
"14 Nov, 2021",279450,90837,32.51,63.36,3.03,0.21,19.36
"13 Nov, 2021",316690,105744,33.39,63.49,3.33,0.22,22.75
"12 Nov, 2021",367462,105927,28.83,56.68,3.42,0.18,19.58
"11 Nov, 2021",411209,103275,25.11,52.18,2.44,0.14,14.18
"10 Nov, 2021",428057,114122,26.66,55.40,2.25,0.12,13.87
"
","
"
--Country--,--Device--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
India,"Connected TV",886,279,31.49,,0.00,0.00,0.00
India,Tablets,36952,19014,51.46,,0.11,0.06,1.11
India,Desktop,2563725,467894,18.25,,0.07,0.05,25.32
India,Mobile,3727723,2031746,54.50,,1.02,0.27,544.79
"
","
"
"
","
"
--Country--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"United States",53758,19841,36.91,56.88,0.43,1.74,34.59
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"9 Nov, 2021",3206,1064,33.19,61.04,1.3,0.91,0.97
"8 Nov, 2021",3818,1351,35.39,65.72,1.24,0.80,1.08
"7 Nov, 2021",3819,1223,32.02,63.63,0.74,1.00,1.22
"6 Nov, 2021",1891,732,38.71,65.04,0.51,1.54,1.13
"5 Nov, 2021",1759,666,37.86,65.95,1.26,1.17,0.78
"30 Nov, 2021",1393,657,47.16,56.07,2.11,1.96,1.29
"29 Nov, 2021",1064,606,56.95,66.82,1.86,2.01,1.22
"28 Nov, 2021",1109,620,55.91,70.60,1.3,2.08,1.29
"27 Nov, 2021",746,472,63.27,74.53,3.04,3.16,1.49
"26 Nov, 2021",1336,599,44.84,55.54,0.71,2.40,1.44
"25 Nov, 2021",1111,508,45.72,65.26,1.54,3.27,1.66
"24 Nov, 2021",952,476,50.00,60.19,1.71,2.61,1.24
"23 Nov, 2021",1608,923,57.40,67.72,0.47,2.34,2.16
"22 Nov, 2021",1330,719,54.06,63.01,1.74,2.36,1.7
"21 Nov, 2021",1046,592,56.60,67.21,2.38,3.38,2
"20 Nov, 2021",1082,590,54.53,65.62,3.39,1.93,1.14
"19 Nov, 2021",1322,820,62.03,72.62,1.74,1.48,1.21
"18 Nov, 2021",366,147,40.16,68.31,8.14,3.54,0.52
"17 Nov, 2021",3254,948,29.13,48.46,4.28,1.66,1.57
"16 Nov, 2021",3640,942,25.88,43.10,2.31,1.83,1.72
"15 Nov, 2021",3359,890,26.50,44.86,2.88,2.08,1.85
"14 Nov, 2021",2688,729,27.12,41.41,0.59,1.56,1.14
"13 Nov, 2021",2449,798,32.58,51.94,1.78,1.93,1.54
"12 Nov, 2021",2495,723,28.98,46.49,0.28,1.38,1
"11 Nov, 2021",3656,1067,29.18,51.78,0.57,1.05,1.12
"10 Nov, 2021",3259,979,30.04,54.68,2.42,1.13,1.11
"
","
"
--Country--,--Device--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"United States",Tablets,3707,688,18.56,,0.00,0.54,0.37
"United States",Desktop,36356,10636,29.26,,0.20,0.69,7.37
"United States",Mobile,13695,8517,62.19,,0.76,3.15,26.85
"
","
"
"
","
"
--Country--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"United Kingdom",9876,4861,49.22,71.45,0.49,1.27,6.15
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"9 Nov, 2021",418,243,58.13,89.23,1.87,0.78,0.19
"8 Nov, 2021",574,302,52.61,89.72,1.37,1.32,0.4
"7 Nov, 2021",421,208,49.41,82.90,1.75,0.96,0.2
"6 Nov, 2021",272,137,50.37,74.26,0,1.17,0.16
"5 Nov, 2021",300,166,55.33,90.33,2.37,1.08,0.18
"30 Nov, 2021",151,122,80.79,93.38,0,1.56,0.19
"29 Nov, 2021",208,159,76.44,90.87,2.59,1.76,0.28
"28 Nov, 2021",239,183,76.57,90.79,1.88,1.53,0.28
"27 Nov, 2021",175,135,77.14,93.71,2.56,2.37,0.32
"26 Nov, 2021",232,178,76.72,90.09,2.27,1.29,0.23
