"--Ad Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Text,62,62,100.00,100.00,1.61,0.00,0
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"16 Feb, 2022",6,6,100.00,100.00,0.00,0.00,0
"15 Feb, 2022",6,6,100.00,100.00,0.00,0.00,0
"14 Feb, 2022",5,5,100.00,100.00,0.00,0.00,0
"13 Feb, 2022",4,4,100.00,100.00,0.00,0.00,0
"12 Feb, 2022",4,4,100.00,100.00,0.00,0.00,0
"11 Feb, 2022",4,4,100.00,100.00,0.00,0.00,0
"10 Feb, 2022",4,4,100.00,100.00,0.00,0.00,0
"09 Feb, 2022",5,5,100.00,100.00,0.00,0.00,0
"08 Feb, 2022",24,24,100.00,100.00,4.17,0.00,0
"
","
"
"--Ad Types--","--Ad Units--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Text,CM_serialgossip.com_vdo_Arts_and_Entertainment_skippable_Desktop,62,62,100.00,100.00,0.00,0.00,0.00
"
","
"
"
","
"
"--Ad Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Image,34,34,100.00,100.00,2.94,0.00,0
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"15 Feb, 2022",8,8,100.00,100.00,12.50,0.00,0
"14 Feb, 2022",1,1,100.00,100.00,0.00,0.00,0
"13 Feb, 2022",5,5,100.00,100.00,0.00,0.00,0
"12 Feb, 2022",2,2,100.00,100.00,0.00,0.00,0
"11 Feb, 2022",2,2,100.00,100.00,0.00,0.00,0
"10 Feb, 2022",3,3,100.00,100.00,0.00,0.00,0
"09 Feb, 2022",3,3,100.00,100.00,0.00,0.00,0
"08 Feb, 2022",10,10,100.00,100.00,0.00,0.00,0
"
","
"
"--Ad Types--","--Ad Units--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Image,CM_serialgossip.com_vdo_Arts_and_Entertainment_skippable_Desktop,34,34,100.00,100.00,0.00,0.00,0.00
"
","
"
"
","
"
"--Ad Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Animatedimage,6,6,100.00,100.00,0.00,0.00,0
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"13 Feb, 2022",1,1,100.00,100.00,0.00,0.00,0
"12 Feb, 2022",4,4,100.00,100.00,0.00,0.00,0
"08 Feb, 2022",1,1,100.00,100.00,0.00,0.00,0
"
","
"
"--Ad Types--","--Ad Units--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Animatedimage,CM_serialgossip.com_vdo_Arts_and_Entertainment_skippable_Desktop,6,6,100.00,100.00,0.00,0.00,0.00
"
","
"
"
","
"
"--Ad Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Unmatchedadrequests,3917245,0,0.00,0,0,0,0
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"17 Feb, 2022",15372,0,0.00,0,0,0,0
"16 Feb, 2022",177993,0,0.00,0,0,0,0
"15 Feb, 2022",363410,0,0.00,0,0,0,0
"14 Feb, 2022",470853,0,0.00,0,0,0,0
"13 Feb, 2022",387010,0,0.00,0,0,0,0
"12 Feb, 2022",402196,0,0.00,0,0,0,0
"11 Feb, 2022",319289,0,0.00,0,0,0,0
"10 Feb, 2022",527224,0,0.00,0,0,0,0
"09 Feb, 2022",631003,0,0.00,0,0,0,0
"08 Feb, 2022",622895,0,0.00,0,0,0,0
"
","
"
"--Ad Types--","--Ad Units--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Unmatchedadrequests,CM_serialgossip.com_vdo_Arts_and_Entertainment_skippable_Desktop,3917245,0,0.00,0.00,0.00,0.00,0.00
"
","
"
"
","
"
"--Ad Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Video,1293271,620414,47.97,100.00,0.06,0.26,163.8
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"17 Feb, 2022",18195,473,2.60,100.00,0.21,0.53,0.25
"16 Feb, 2022",146452,3525,2.41,100.00,0.85,0.66,2.33
"15 Feb, 2022",119622,51027,42.66,100.00,0.05,0.22,11.38
"14 Feb, 2022",107263,62416,58.19,100.00,0.03,0.21,13.15
"13 Feb, 2022",104319,59938,57.46,100.00,0.05,0.19,11.57
"12 Feb, 2022",128926,76635,59.44,100.00,0.06,0.25,18.87
"11 Feb, 2022",197320,124503,63.10,100.00,0.09,0.38,46.84
"10 Feb, 2022",154934,76416,49.32,100.00,0.04,0.25,18.76
"09 Feb, 2022",151414,73969,48.85,100.00,0.03,0.26,19.5
"08 Feb, 2022",164826,91512,55.52,100.00,0.03,0.23,21.15
"
","
"
"--Ad Types--","--Ad Units--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Video,CM_serialgossip.com_vdo_Arts_and_Entertainment_skippable_Desktop,1293271,620414,47.97,100.00,0.00,0.26,163.80
"
","
"
"
","
"
