--Date--,"--Ad Requests--","--Ad Impressions--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"8 Feb, 2022",787756,91547,20.9,0.0,0.23,21.15
"9 Feb, 2022",782425,73977,19.4,0.0,0.26,19.5
"10 Feb, 2022",682165,76423,22.7,0.0,0.24,18.76
"11 Feb, 2022",516615,124509,38.2,0.1,0.37,46.84
"12 Feb, 2022",531132,76645,24.3,0.1,0.24,18.87
"13 Feb, 2022",491339,59948,21.2,0.0,0.19,11.57
"14 Feb, 2022",578122,62422,18.6,0.0,0.21,13.15
"15 Feb, 2022",483046,51041,24.8,0.1,0.22,11.38
"16 Feb, 2022",324451,3531,45.1,0.8,0.65,2.33
"17 Feb, 2022",33567,473,54.2,0.2,0.52,0.25
Total,"5,210,618","620,516",24.82,0.06,0.26,163.80
