"--Ad Unit Name--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
CM_rokutvstick.com_vdo_Technology_and_Computing_PRE_OUTSTREAM_Skippable,6749,5211,77.21,93.75,1.69,5.04,26.28
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"17 Aug, 2021",685,563,82.19,99.27,1.95,4.88,2.75
"16 Aug, 2021",807,672,83.27,99.75,1.34,4.94,3.32
"15 Aug, 2021",1053,879,83.48,99.24,1.37,5.11,4.49
"14 Aug, 2021",1350,1133,83.93,99.19,1.77,5.53,6.26
"13 Aug, 2021",808,666,82.43,98.76,0.9,5.00,3.33
"12 Aug, 2021",751,634,84.42,99.07,3.47,5.39,3.42
"11 Aug, 2021",647,507,78.36,96.60,1.58,5.17,2.62
"10 Aug, 2021",648,157,24.23,44.91,0,0.57,0.09
"
","
"
"
","
"
"--Ad Unit Name--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
CM_bestappsbuzz.com_vdo_Technology_and_Computing_PRE_OUTSTREAM_Skippable,3280,2451,74.73,98.51,0.73,1.66,4.08
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"17 Aug, 2021",710,503,70.85,97.89,0.4,1.75,0.88
"16 Aug, 2021",625,468,74.88,97.60,0.85,2.14,1
"15 Aug, 2021",663,505,76.17,99.10,1.58,1.66,0.84
"14 Aug, 2021",732,554,75.68,98.50,0.54,1.46,0.81
"13 Aug, 2021",550,421,76.55,99.64,0.24,1.31,0.55
"
","
"
"
","
"
