"--Device Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Mobile,6368,4673,73.38,92.84,1.93,4.26,19.91
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"17 Aug, 2021",733,564,76.94,97.95,3.93,3.83,2.16
"16 Aug, 2021",803,629,78.33,98.26,4.4,3.80,2.39
"15 Aug, 2021",1095,873,79.73,98.81,6.99,4.23,3.69
"14 Aug, 2021",1360,1107,81.40,98.68,2.41,4.43,4.9
"13 Aug, 2021",805,642,79.75,98.63,0.93,3.79,2.43
"12 Aug, 2021",588,482,81.97,98.81,3.73,5.02,2.42
"11 Aug, 2021",495,374,75.56,95.56,2.14,5.13,1.92
"10 Aug, 2021",489,2,0.41,27.20,0,0.00,0
"
","
"
--Devices--,"--Ad Units--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Mobile,CM_bestappsbuzz.com_vdo_Technology_and_Computing_PRE_OUTSTREAM_Skippable,873,604,69.19,95.88,1.99,1.24,0.75
Mobile,CM_rokutvstick.com_vdo_Technology_and_Computing_PRE_OUTSTREAM_Skippable,5495,4069,74.05,92.36,1.92,4.71,19.16
"
","
"
"
","
"
"--Device Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Desktop,3299,2698,81.78,99.70,0.30,3.49,9.42
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"17 Aug, 2021",612,466,76.14,99.35,0,2.88,1.34
"16 Aug, 2021",594,481,80.98,99.49,0.7,3.85,1.85
"15 Aug, 2021",542,449,82.84,100.00,1.24,3.16,1.42
"14 Aug, 2021",645,521,80.78,99.84,0,3.63,1.89
"13 Aug, 2021",501,403,80.44,99.80,0,3.37,1.36
"12 Aug, 2021",136,126,92.65,100.00,2.38,7.14,0.9
"11 Aug, 2021",131,116,88.55,100.00,0,5.17,0.6
"10 Aug, 2021",138,136,98.55,99.28,0,0.44,0.06
"
","
"
--Devices--,"--Ad Units--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Desktop,CM_bestappsbuzz.com_vdo_Technology_and_Computing_PRE_OUTSTREAM_Skippable,2267,1750,77.19,99.65,0.17,1.78,3.11
Desktop,CM_rokutvstick.com_vdo_Technology_and_Computing_PRE_OUTSTREAM_Skippable,1032,948,91.86,99.81,0.53,6.66,6.31
"
","
"
"
","
"
"--Device Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Tablets,309,254,82.20,99.03,3.15,3.74,0.95
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"17 Aug, 2021",43,32,74.42,97.67,3.13,3.75,0.12
"16 Aug, 2021",32,27,84.38,100.00,7.41,2.59,0.07
"15 Aug, 2021",51,42,82.35,98.04,0,4.29,0.18
"14 Aug, 2021",70,55,78.57,98.57,19.74,4.55,0.25
"13 Aug, 2021",45,36,80.00,100.00,8.66,3.33,0.12
"12 Aug, 2021",27,26,96.30,100.00,3.85,3.46,0.09
"11 Aug, 2021",20,17,85.00,100.00,0,5.29,0.09
"10 Aug, 2021",21,19,90.48,100.00,0,1.58,0.03
"
","
"
--Devices--,"--Ad Units--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Tablets,CM_rokutvstick.com_vdo_Technology_and_Computing_PRE_OUTSTREAM_Skippable,216,189,87.50,100.00,2.65,3.97,0.75
Tablets,CM_bestappsbuzz.com_vdo_Technology_and_Computing_PRE_OUTSTREAM_Skippable,93,65,69.89,96.77,4.62,3.08,0.20
"
","
"
"
","
"
"--Device Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"Connected TV",53,37,69.81,96.23,0.00,1.89,0.07
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"17 Aug, 2021",7,4,57.14,100.00,0,2.50,0.01
"16 Aug, 2021",3,3,100.00,100.00,0,0.00,0
"15 Aug, 2021",28,20,71.43,100.00,0,2.50,0.05
"14 Aug, 2021",7,4,57.14,71.43,0,2.50,0.01
"13 Aug, 2021",7,6,85.71,100.00,0,0.00,0
"11 Aug, 2021",1,0,0.00,100.00,0,0,0
"
","
"
--Devices--,"--Ad Units--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"Connected TV",CM_bestappsbuzz.com_vdo_Technology_and_Computing_PRE_OUTSTREAM_Skippable,47,32,68.09,95.74,0.00,0.94,0.03
"Connected TV",CM_rokutvstick.com_vdo_Technology_and_Computing_PRE_OUTSTREAM_Skippable,6,5,83.33,100.00,0.00,8.00,0.04
"
","
"
"
","
"
