--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"09 Aug ,2021",0,0,0,0,0,0,0
"10 Aug, 2021",648,157,24.23,44.91,0.00%,0.67,0.09
"11 Aug, 2021",647,507,78.36,96.60,1.58%,6.08,2.62
"12 Aug, 2021",751,634,84.42,99.07,3.47%,6.35,3.42
"13 Aug, 2021",1358,1087,80.04,99.12,0.64%,4.21,3.89
"14 Aug, 2021",2082,1687,81.03,98.94,1.36%,4.92,7.06
"15 Aug, 2021",1716,1384,80.65,99.18,1.45%,4.53,5.33
"16 Aug, 2021",1432,1140,79.61,98.81,1.14%,4.45,4.32
"17 Aug, 2021",1395,1066,76.42,98.57,1.22%,4.01,3.63
"18 Aug, 2021",1426,1090,76.44,98.81,1.10%,3.74,3.46
"
","
"
Total,11455,8752,76.40,0,1.35,3.86,33.82
