--Date--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"15 Nov, 2021",97041,2834,3149,3.25,0.00%,0.08,0.20
"16 Nov, 2021",115013,2220,2402,2.09,0.05%,0.15,0.28
"17 Nov, 2021",127703,1307,1514,1.19,0.00%,0.11,0.13
"18 Nov, 2021",137981,7440,7918,5.74,0.00%,0.15,0.95
"19 Nov, 2021",129424,10920,11547,8.92,0.00%,0.19,1.75
"20 Nov, 2021",132140,14660,15599,11.80,0.00%,0.16,1.96
"21 Nov, 2021",137659,16346,17292,12.56,0.01%,0.16,2.25
"22 Nov, 2021",21107,1789,1941,9.20,0.00%,0.12,0.19
"
","
"
Total,898068,57516,61362,6.83,0.00,0.13,7.71
