--Country--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
India,94671,0.06,5.4
"
","
"
--Date--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
"1 Jan, 2022",1970,0.04,0.08
"2 Jan, 2022",2457,0.04,0.09
"3 Jan, 2022",3258,0.04,0.12
"4 Jan, 2022",3737,0.03,0.12
"5 Jan, 2022",2440,0.04,0.09
"6 Jan, 2022",2338,0.04,0.09
"7 Jan, 2022",2918,0.04,0.13
"8 Jan, 2022",2542,0.05,0.13
"9 Jan, 2022",1687,0.06,0.10
"10 Jan, 2022",2423,0.04,0.10
"11 Jan, 2022",1813,0.04,0.08
"12 Jan, 2022",2902,0.05,0.14
"13 Jan, 2022",3274,0.07,0.23
"14 Jan, 2022",2254,0.06,0.14
"15 Jan, 2022",2897,0.06,0.16
"16 Jan, 2022",2534,0.08,0.20
"17 Jan, 2022",3280,0.05,0.18
"18 Jan, 2022",3068,0.06,0.17
"19 Jan, 2022",2512,0.09,0.22
"20 Jan, 2022",3350,0.07,0.24
"21 Jan, 2022",2254,0.07,0.15
"22 Jan, 2022",2309,0.08,0.18
"23 Jan, 2022",2218,0.06,0.14
"24 Jan, 2022",2883,0.08,0.22
"25 Jan, 2022",2915,0.08,0.24
"26 Jan, 2022",2065,0.06,0.12
"27 Jan, 2022",1813,0.05,0.09
"28 Jan, 2022",2106,0.04,0.09
"29 Jan, 2022",2149,0.06,0.13
"30 Jan, 2022",2057,0.07,0.15
"31 Jan, 2022",18248,0.06,1.08
"
","
"
--Country--,--Device--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
India,Mobile,"80,902",0.06,5.02
India,Desktop,"13,666",0.03,0.38
India,Tablet,103,0.00,0.00
"
","
"
"
","
"
--Country--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
United_Kingdom,292,0.72,0.21
"
","
"
--Date--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
"1 Jan, 2022",19,0.00,0.00
"2 Jan, 2022",12,1.67,0.02
"3 Jan, 2022",27,0.74,0.02
"4 Jan, 2022",12,0.00,0.00
"5 Jan, 2022",79,0.89,0.07
"6 Jan, 2022",20,1.00,0.02
"7 Jan, 2022",2,0.00,0.00
"8 Jan, 2022",5,0.00,0.00
"9 Jan, 2022",42,0.48,0.02
"10 Jan, 2022",22,0.91,0.02
